531625801131414; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG SOL OR CT FR VD AMB CGT X 15 ML; EMS
531625802111417; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG COM CT BL AL PVDC BRANCO LEIT X 20; EMS
531614010072903; TORAGESIC; TORAGESIC; NOT FOUND; 10 MG COM SUB-LING CT FR VD AMB X 20; EMS
507735301114114; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 10 MG COM SUB-LING CT FR VD AMB X 10; EMS
531603903111411; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EMS
531603901117412; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; EMS
531603905112415; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); EMS
531603904116417; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EMS
531603908111411; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
531603902113410; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; EMS
531603906119413; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); EMS
531603907115411; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
507741501162419; TRINULOX; TRINULOX; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
507723801117410; TETRAMICIN; TETRAMICIN; NOT FOUND; 500 MG CAP CT ENV AL X 100; EMS
531621602118415; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
531621601111417; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 7; EMS
507727501169116; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC; EMS
531612801111411; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 20; EMS
531612802118411; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 30; EMS
531612803114418; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 600 MG COM REV CT 01 BL AL PVDC LEIT X 20; EMS
507745701115417; TACROLIL; TACROLIL; NOT FOUND; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 ENV AL (EMB. HOSP); EMS
507746801113112; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG CAP GEL DURA CT BL AL PLAS OPC X 100 COM SACHE DE SILICA EM EMBALAGEM DE ALUMINIO (FLOW PACK); EMS
507745702111415; TACROLIL; TACROLIL; NOT FOUND; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL (EMB. HOSP); EMS
507746802111113; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG CAP GEL DURA CT BL AL PLAS OPC X 50 ENV AL; EMS
531614080076306; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 20; EMS
531614080076406; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
507740401113116; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 20; EMS
507740402111117; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
541812080003306; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL AL X 30; EMS
541812080003406; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL AL X 30; EMS
507723602114111; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 10; EMS
507723603110118; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507742201162411; TERCONAN; TERCONAN; NOT FOUND; 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC; EMS
507743801163115; TERCONAZOL; TERCONAZOL; TERCONAZOL; 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC; EMS
531612702164118; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 50 MG/G POM DERM CT BG AL X 45 G ; EMS
507731302167111; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 50 MG/G POM DERM CT BG AL X 45 G ; EMS
531612701117116; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 500 MG COM CT BL AL PLAS LEIT X 6 ; EMS
507731301111112; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 500 MG COM CT BL AL PLAS LEIT X 6 ; EMS
541812090003904; TIBOCLIN; TIBOCLIN; NOT FOUND; 2.5 COM CT BL AL PLAS OPC X 30; EMS
541812100004006; TIBOLONA; TIBOLONA; TIBOLONA; 2.5 MG COM CT BL AL PLAS OPC X 30; EMS
531621302114112; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 4; EMS
507738002118112; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 4 ; EMS
531621301118114; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 8; EMS
