507723503132411; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; EMS
507723502111410; SUPLEVIT; SUPLEVIT; NOT FOUND; FR C/20 DRG; EMS
531614050073803; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; EMS
531614050073903; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR VD AMB X 30; EMS
531603601113411; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; EMS
531603602111412; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; EMS
531627101110410; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 14; EMS
531627104111418; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 20; EMS
531627103113417; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 18; EMS
531627102133414; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; (5600 + 798) MG PO PREP EXTEMP SUS OR CT FR PLAST OPC X 70 ML (80 + 11.40) MG/ML APOS REC.; EMS
507723201160110; SULFATO NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; EMS
507722801172413; STILUX; STILUX; NOT FOUND; 0.15 MG/ML + 0.30 MG/ML SOL OFT CT FR PLAS OPC GOT X 20 ML; EMS
531612090067804; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
531612090067904; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60; EMS
507738401111413; SUPRICAL D; SUPRICAL D; NOT FOUND; 500MG + 200 UI COM REV CT FR PLAS OPC X 75; EMS
507744502119414; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 1; EMS
507744503115412; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 2; EMS
