505800201151411, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 100MG PO LIOF INJ CT FA VD AMB X 1000MG, C1T
505800202158418, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 50MG PO LIOF INJ CT FA VD AMB X 500MG, C1T
505800301156413, DOSATAXEL, DOSATAXEL, NOT FOUND, 20MG SOL INJ CT FA VD INC X 0.5ML + DIL X 1.5ML, C1T
505800302152411, DOSATAXEL, DOSATAXEL, NOT FOUND, 80MG SOL INJ CT FA VD INC X 2ML + DIL X 6ML, C1T
505800401150417, DOSATECAN, DOSATECAN, NOT FOUND, 100MG - 20MG/ML SOL INJ CT FA VD AMB X 5ML, C1T
505800402157415, DOSATECAN, DOSATECAN, NOT FOUND, 20MG/ML SOL INJ CT FA VD AMB X 2ML, C1T
505800201151411, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 100MG PO LIOF INJ CT FA VD AMB X 1000MG, C1T
505800202158418, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 50MG PO LIOF INJ CT FA VD AMB X 500MG, C1T
505800301156413, DOSATAXEL, DOSATAXEL, NOT FOUND, 20MG SOL INJ CT FA VD INC X 0.5ML + DIL X 1.5ML, C1T
505800302152411, DOSATAXEL, DOSATAXEL, NOT FOUND, 80MG SOL INJ CT FA VD INC X 2ML + DIL X 6ML, C1T
505800401150417, DOSATECAN, DOSATECAN, NOT FOUND, 100MG - 20MG/ML SOL INJ CT FA VD AMB X 5ML, C1T
505800402157415, DOSATECAN, DOSATECAN, NOT FOUND, 20MG/ML SOL INJ CT FA VD AMB X 2ML, C1T
505800201151411, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 100MG PO LIOF INJ CT FA VD AMB X 1000MG, C1T
505800202158418, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 50MG PO LIOF INJ CT FA VD AMB X 500MG, C1T
505800301156413, DOSATAXEL, DOSATAXEL, NOT FOUND, 20MG SOL INJ CT FA VD INC X 0.5ML + DIL X 1.5ML, C1T
505800302152411, DOSATAXEL, DOSATAXEL, NOT FOUND, 80MG SOL INJ CT FA VD INC X 2ML + DIL X 6ML, C1T
505800401150417, DOSATECAN, DOSATECAN, NOT FOUND, 100MG - 20MG/ML SOL INJ CT FA VD AMB X 5ML, C1T
505800402157415, DOSATECAN, DOSATECAN, NOT FOUND, 20MG/ML SOL INJ CT FA VD AMB X 2ML, C1T
505800201151411, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 100MG PO LIOF INJ CT FA VD AMB X 1000MG, C1T
505800202158418, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 50MG PO LIOF INJ CT FA VD AMB X 500MG, C1T
505800301156413, DOSATAXEL, DOSATAXEL, NOT FOUND, 20MG SOL INJ CT FA VD INC X 0.5ML + DIL X 1.5ML, C1T
505800302152411, DOSATAXEL, DOSATAXEL, NOT FOUND, 80MG SOL INJ CT FA VD INC X 2ML + DIL X 6ML, C1T
505800401150417, DOSATECAN, DOSATECAN, NOT FOUND, 100MG - 20MG/ML SOL INJ CT FA VD AMB X 5ML, C1T
505800402157415, DOSATECAN, DOSATECAN, NOT FOUND, 20MG/ML SOL INJ CT FA VD AMB X 2ML, C1T
505800201151411, DOSAPLATIN, DOSAPLATIN, NOT FOUND, 100MG PO LIOF INJ CT FA VD AMB X 1000MG, C1T
