1042900440064; BAYCUTEN N; BAYCUTEN N; NOT FOUND; 1% CREM DERM CT BG X 40 G; BYP
1705600230032; BAYCUTEN N; BAYCUTEN N; NOT FOUND; 10 MG/G + 0.443 MG/G CREM DERM CT BG AL X 40 G; BYP
1705600810012; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G ; BYP
1705600810020; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; BYP
1705600810047; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 15 G; BYP
1705600810055; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 30 G; BYP
1042900090722; BINOTAL; BINOTAL; NOT FOUND; 1000 MG STRIP X 12 COMP; BYP
1042900090559; BINOTAL; BINOTAL; NOT FOUND; 1000 MG STRIP X 18 COMP; BYP
1042900090732; BINOTAL; BINOTAL; NOT FOUND; 500 MG STRIP X 12 COMP; BYP
1042900090443; BINOTAL; BINOTAL; NOT FOUND; 500 MG STRIP X 18 COMP; BYP
1705600330096; BINOTAL; BINOTAL; NOT FOUND; 500 MG COM CT STR X 14; BYP
1705600330118; BINOTAL; BINOTAL; NOT FOUND; 1000 MG COM CT STR X 14; BYP
1705600330126; BINOTAL; BINOTAL; NOT FOUND; 1000 MG COM CT STR X 21; BYP
1705600330101; BINOTAL; BINOTAL; NOT FOUND; 500 MG COM CT STR X 21; BYP
1705600530036; BETAFERON; BETAFERON; NOT FOUND; 9.6 MUI PO LIOF INJ CT 15 CT 1 FA VD INC + 1 SER VD INC DIL X 1.2 ML + ADAP COM AGULHA +  2 ENV LENCO; BYP
1705600110096; BEROCCAL CÁLCIO MAGNÉSIO E ZINCO; BEROCCAL CALCIO MAGNESIO E ZINCO; NOT FOUND; COM EFEV CT TB AL X 10; BYP
1705600110029; BEROCCAL CÁLCIO MAGNÉSIO E ZINCO; BEROCCAL CALCIO MAGNESIO E ZINCO; NOT FOUND; COM LAQ CT BL AL PLAS INC X 30; BYP
1042901690016; BENEROC COMPLEX; BENEROC COMPLEX; NOT FOUND; DRG CT BL AL PLAS INC X 30; BYP
1042901680010; BENEROC JUNIOR; BENEROC JUNIOR; NOT FOUND; SOL OR CT FR VD AMB CGT X 20 ML; BYP
1705600370063; BONEFÓS; BONEFOS; NOT FOUND; 60 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; BYP
1705600370071; BONEFÓS; BONEFOS; NOT FOUND; 60 MG/ML SOL INJ CT AMP VD INC X 25 ML; BYP
1705600370020; BONEFÓS; BONEFOS; NOT FOUND; 400 MG CAP GEL DURA CT FR PLAS POLIET OPC X 30; BYP
1705600370055; BONEFÓS; BONEFOS; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 60; BYP
1042901670031; BENEROC; BENEROC; NOT FOUND; DRG CT BL AL PLAS INC X 100; BYP
1705600030025; BENERVA; BENERVA; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; BYP
1705600960022; BI-NERISONA; BI NERISONA; NOT FOUND; 1.0 MG + 10 MG CREAM DERM CT BG AL X 15 G; BYP
1705600040063; BEPANTOL; BEPANTOL; NOT FOUND; 50 MG/ML SOL TOP CT FR PLAS AMB X 50 ML ; BYP
1705600040020; BEPANTOL; BEPANTOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 30 G; BYP
