1705600380042; UROGRAFINA; UROGRAFINA; NOT FOUND; 60 % SOL INJ CT FA VD INC X 50 ML; BYP
1705600380069; UROGRAFINA; UROGRAFINA; NOT FOUND; 60 % SOL INJ CT FA VD INC X 100 ML + EQUIPO; BYP
1705600380050; UROGRAFINA; UROGRAFINA; NOT FOUND; 60 % SOL INJ CT FA VD INC X 100 ML; BYP
1705600830031; ULTRAPROCT LDO; ULTRAPROCT LDO; NOT FOUND; 1MG/G + 20 MG/G CREM RET CT BG AL X 30 G + APLIC ; BYP
1705600830064; ULTRAPROCT LDO; ULTRAPROCT LDO; NOT FOUND; 1 MG + 40MG SUP RET CT STR AL X 10; BYP
1705600950108; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 20 ML ; BYP
1705600950116; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 50 ML ; BYP
1705600950124; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ; BYP
1705600950132; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 200 ML ; BYP
1705600950140; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CT FA VD INC X 500 ML ; BYP
1705600950159; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 50 ML ; BYP
1705600950167; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ; BYP
1705600950175; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 200 ML  ; BYP
