1705600360017; NATELE; NATELE; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 14; BYP
1705600360025; NATELE; NATELE; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 28; BYP
1705600360033; NATELE; NATELE; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 7; BYP
1705600620019; NEOVLAR; NEOVLAR; NOT FOUND; 0.25 MG + 0.05 MG DRG CT BL CALEND AL PLAS INC X 21; BYP
1042901800024; NAPROSYN; NAPROSYN; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 15; BYP
1042901800067; NAPROSYN; NAPROSYN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; BYP
1705600280021; NAPROSYN; NAPROSYN; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 15; BYP
1705600280064; NAPROSYN; NAPROSYN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; BYP
1705600280056; NAPROSYN; NAPROSYN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10; BYP
1042900590042; NIMOTOP; NIMOTOP; NOT FOUND; 0.2 MG/ML SOL INJ CX 5 FA VD AMB X 50 ML + 5 EQP; BYP
1042900590069; NIMOTOP; NIMOTOP; NOT FOUND; 30 MG COM REV CT BL AL / AL X 30 ; BYP
