1042900840049; GLUCOBAY; GLUCOBAY; NOT FOUND; 100 MG COM CT BL AL X 30; BYP
1042900840014; GLUCOBAY; GLUCOBAY; NOT FOUND; 50 MG COM CT BL AL X 30; BYP
1705600740073; GLUCOBAY; GLUCOBAY; NOT FOUND; 50 MG COM CT BL AL/AL X 30; BYP
1705600740091; GLUCOBAY; GLUCOBAY; NOT FOUND; 100 MG COM CT BL AL/AL X 30; BYP
1042900420066; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; BYP
1042900420031; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; BYP
1042900420074; GINO CANESTEN; GINO CANESTEN; NOT FOUND; 500 MG COM VAG CT BL AL/AL 1 + APLIC; BYP
1705600940056; GAMORVAN; GAMORVAN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; BYP
1705600940031; GAMORVAN; GAMORVAN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; BYP
1705600940080; GAMORVAN; GAMORVAN; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; BYP
1705600750052; GYNERA; GYNERA; NOT FOUND; 0.075 MG + 0.03 MG DRG CT ENV BL CALEND AL PLAS INC X 21; BYP
1705600510000; GADOVIST; GADOVIST; NOT FOUND; 604.72 MG/ML SOL INJ CT FA VD INC X 15 ML; BYP
1705600510019; GADOVIST; GADOVIST; NOT FOUND; 604.72 MG/ML SOL INJ CT FA VD INC X 7.5 ML; BYP
1705600510027; GADOVIST; GADOVIST; NOT FOUND; 604.72 MG/ML SOL INJ CT FA VD INC X 15 ML; BYP
1705600790038; GYNOTRAN; GYNOTRAN; NOT FOUND; 750MG + 200MG OVULO CT 1 STRIP X 7 + 14 DEDEIRAS; BYP
1705600790021; GYNOTRAN; GYNOTRAN; NOT FOUND; 750MG + 200MG OVULO CT 1 STRIP X 7 + 7 LUVAS; BYP
1705600990010; GYNO-ICADEN; GYNO ICADEN; NOT FOUND; 10 MG/G CREM VAG CT BG X 40 G + 7 APLIC; BYP
1705600990045; GYNO-ICADEN; GYNO ICADEN; NOT FOUND; 600 MG/OVULO CT STRIP X 1 + DEDEIRA; BYP
