1705600850091; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; BYP
1705600850154; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/G LOCAO CREMOSA CT BG AL X 20 G; BYP
1705600850014; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 15 G; BYP
1705600660037; ANDROCUR; ANDROCUR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; BYP
1705600660061; ANDROCUR; ANDROCUR; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; BYP
1705600050026; AROVIT; AROVIT; NOT FOUND; 300000 UI/ML SOL INJ CX 25 AMP VD AMB X 1ML; BYP
1705600050034; AROVIT; AROVIT; NOT FOUND; 150000 UI/ML SOL OR CT FR VD AMB CGT X 20ML; BYP
1705600050018; AROVIT; AROVIT; NOT FOUND; 50000 UI DRG CT BL AL PLAS AMB X 30; BYP
1042900720041; ALKA SELTZER; ALKA SELTZER; NOT FOUND; 1625 MG + 324 MG + 965 MG COM EFV CT ENV AL POLIET X 100; BYP
1042900720051; ALKA SELTZER; ALKA SELTZER; NOT FOUND; 1625 MG + 324 MG + 965 MG COM EFV CT ENV AL POLIET X 10; BYP
1705600310079; AVALOX; AVALOX; NOT FOUND; 1.6 MG / ML SOL INJ ENV AL BOLS PLAS X 250 ML ; BYP
1705600310011; AVALOX; AVALOX; NOT FOUND; 400 MG COM REV CT BL AL / AL X 5; BYP
1705600310044; AVALOX; AVALOX; NOT FOUND; 400 MG COM REV CT BL AL / AL X 7; BYP
1705600880010; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT BL AL PLAS VERDE X 28; BYP
1705600880037; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT BL AL PLAS VERDE X 168; BYP
1705600880053; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT ENV BL AL PLAS VERDE X 84; BYP
1705600880029; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT BL AL PLAS VERDE X 84; BYP
1705600880045; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT ENV BL AL PLAS VERDE X 28; BYP
1705600880061; ALLURENE; ALLURENE; NOT FOUND; 2 MG COM CT ENV BL AL PLAS VERDE X 168; BYP
1705600390013; ANGELIQ; ANGELIQ; NOT FOUND; 1 MG + 2 MG COM REV CT BL AL PVC X 28; BYP
1705600440010; AVADEN; AVADEN; NOT FOUND; 1 MG COM REV / 1 MG + 0.025 MG COM REV CT ENV BL CALEND X 28; BYP
1042901650030; ASPISPORT; ASPISPORT; NOT FOUND; 50 MG/G GEL CT BG AL X 30 G ; BYP
1042900920077; AVALOX; AVALOX; NOT FOUND; 1.6 MG/ML SOL INJ ENV AL BOLS PLAS X 250 ML; BYP
1042900920018; AVALOX; AVALOX; NOT FOUND; 400 MG COM REV CT BL AL/AL X 5; BYP
1042900920050; AVALOX; AVALOX; NOT FOUND; 400 MG COM REV CT BL AL/AL X 7; BYP
1042900010091; ADALAT; ADALAT; NOT FOUND; 10 MG CAP GEL MOLE CT FR VD AMB X 60; BYP
1042900011344; ADALAT OROS; ADALAT OROS; NOT FOUND; 20 MG COM CT BL AL/AL X 15; BYP
1042900011379; ADALAT OROS; ADALAT OROS; NOT FOUND; 30 MG COM REV MULT LIB PROL CT BL AL/AL X 15; BYP
1042900011409; ADALAT OROS; ADALAT OROS; NOT FOUND; 60 MG COM REV MULT LIB PROL CT BL AL/AL X 15; BYP
1042900010161; ADALAT RETARD; ADALAT RETARD; NOT FOUND; 10 MG COM REV CT BL AL PLAS AMB X 30; BYP
1042900010062; ADALAT; ADALAT; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 30; BYP
1042900011417; ADALAT OROS; ADALAT OROS; NOT FOUND; 60 MG COM REV MULT LIB PROL CT BL AL/AL X 30; BYP
1042900011387; ADALAT OROS; ADALAT OROS; NOT FOUND; 30 MG COM REV MULT LIB PROL CT BL AL/AL X 30; BYP
1042900011352; ADALAT OROS; ADALAT OROS; NOT FOUND; 20 MG COM CT BL AL/AL X 30; BYP
9999999999997; ADALAT RETARD; ADALAT RETARD; NOT FOUND; CONTROLE; BYP
1705600520332; ADALAT; ADALAT; NOT FOUND; 10 MG CAP GEL CT BL AL/AL X 60; BYP
1705600520103; ADALAT OROS; ADALAT OROS; NOT FOUND; 20 MG COM CT BL AL/AL X 15; BYP
1705600520111; ADALAT OROS; ADALAT OROS; NOT FOUND; 20 MG COM CT BL AL/AL X 30; BYP
1705600520189; ADALAT OROS; ADALAT OROS; NOT FOUND; 30 MG COM CT BL AL/AL X 15; BYP
1705600520197; ADALAT OROS; ADALAT OROS; NOT FOUND; 30 MG COM CT BL AL/AL X 30; BYP
1705600520014; ADALAT OROS; ADALAT OROS; NOT FOUND; 60 MG COM CT BL AL/AL X 15; BYP
1705600520022; ADALAT OROS; ADALAT OROS; NOT FOUND; 60 MG COM CT BL AL/AL X 30; BYP
1705600520261; ADALAT; ADALAT; NOT FOUND; 10 MG COM REV CT BL AL/PLAST AMB OPC X 30; BYP
1705600520294; ADALAT RETARD; ADALAT RETARD; NOT FOUND; 20 MG COM REV CT BL AL/PLAST AMB OPC X 30; BYP
1705600930018; AROVIT VITA; AROVIT VITA; NOT FOUND; 300000 UI/ML SOL INJ CX 25 AMP VD AMB X 1ML ; BYP
1705600930026; AROVIT VITA; AROVIT VITA; NOT FOUND; 150000 UI/ML SOL OR CT FR VD AMB CGT X 20ML; BYP
