1705600590012; CLIMENE; CLIMENE; NOT FOUND; 2 MG DRG / 2 MG + 1 MG DRG CT BL CALEND X 11 + 10; BYP
1705600560016; CLIANE; CLIANE; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS INC X 28; BYP
1705600350038; CAMPATH; CAMPATH; NOT FOUND; 30 MG/ML SOL INJ CT 3 FA VD INC X 1 ML ; BYP
1042900910047; CAFIASPIRINA; CAFIASPIRINA; NOT FOUND; 650 + 65 MG COM CT BL AL/AL X 100; BYP
1042900910039; CAFIASPIRINA; CAFIASPIRINA; NOT FOUND; 650 + 65 MG COM CT 5 BL AL/AL X 4; BYP
1705600150012; CAFIASPIRINA; CAFIASPIRINA; NOT FOUND; 650 MG + 65 MG COM CT BL AL/AL X 20; BYP
1705600150020; CAFIASPIRINA; CAFIASPIRINA; NOT FOUND; 650 MG + 65 MG COM CT BL AL/AL X 100; BYP
1042900560119; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ CT FR VD INC X 100 ML; BYP
1042900560224; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ CT FR VD INC X 200 ML; BYP
1042900560313; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ ENV AL BOLS PVC X 200 ML ( REST HOSP) ; BYP
1042900560321; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ ENV AL BOLS PVC X 100 ML ( REST HOSP) ; BYP
1042900560690; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ ENV AL BOLS PO X 100 ML ( REST HOSP); BYP
1042900560682; CIPRO; CIPRO; NOT FOUND; 0.2% SOL INJ ENV AL BOLS PO X 200 ML (REST HOSP); BYP
1042900560240; CIPRO; CIPRO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 7; BYP
1042900560232; CIPRO; CIPRO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6 ; BYP
1042900560267; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 7; BYP
1042900560291; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT 50 BL AL PLAS INC X 1 (REST HOSP); BYP
1042900560259; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6 ; BYP
1042900560461; CIPRO XR; CIPRO XR; NOT FOUND; 1000 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 7; BYP
1042900560380; CIPRO XR; CIPRO XR; NOT FOUND; 500 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 3; BYP
1042900560399; CIPRO XR; CIPRO XR; NOT FOUND; 500 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 7; BYP
1042900560453; CIPRO XR; CIPRO XR; NOT FOUND; 1000 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 3; BYP
1042900560658; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS (PP) INC X 6; BYP
1042900560631; CIPRO; CIPRO; NOT FOUND; 250 MG COM REV CT BL AL PLAS (PP) INC X 14; BYP
1042900560623; CIPRO; CIPRO; NOT FOUND; 250 MG COM REV CT BL AL PLAS (PP) INC X 6; BYP
1042900560666; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS (PP) INC X 14; BYP
1042900560674; CIPRO; CIPRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS (PP) INC X 50; BYP
1042900560550; CIPRO XR; CIPRO XR; NOT FOUND; 500 MG COM REV MULT LIB PROL V CT BL AL PLAS (PP) INC X 7; BYP
1042900560542; CIPRO XR; CIPRO XR; NOT FOUND; 500 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 3; BYP
1042900560593; CIPRO XR; CIPRO XR; NOT FOUND; 1000 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 7; BYP
1042900560585; CIPRO XR; CIPRO XR; NOT FOUND; 1000 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 3; BYP
1042900130221; CANESTEN; CANESTEN; NOT FOUND; 1% SOL TOP CT FR PLAST OPC X 30 ML; BYP
1042900130238; CANESTEN; CANESTEN; NOT FOUND; 1% SOL TOP CT FR PLAST OPC GOT X 30 ML; BYP
1042900130062; CANESTEN; CANESTEN; NOT FOUND; 1% PO TP FR 30 G; BYP
1042900130038; CANESTEN; CANESTEN; NOT FOUND; 10 MG /G CREM DERM CT BG AL X 20 G; BYP
1705600540015; CICLOPRIMOGYNA; CICLOPRIMOGYNA; NOT FOUND; 2 MG DRG / 2 MG + 0.25 MG DRG CT BL AL PLAS INC X 11 + 10; BYP
