1042900530058; MYCOSPOR; MYCOSPOR; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 15 ML; BYP
1042900530031; MYCOSPOR; MYCOSPOR; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G; BYP
1705600800025; MYCOSPOR; MYCOSPOR; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G; BYP
1705600430015; MESIGYNA; MESIGYNA; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER VD INC X 1 ML + AGU; BYP
1705600550010; MIRELLE; MIRELLE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT ENV BL CALEND X 24; BYP
1705600640011; MICROVLAR; MICROVLAR; NOT FOUND; 0.15 MG + 0.03 MG DRG CT BL CALEND AL PLAS INC X 21; BYP
1705600670016; MIRANOVA; MIRANOVA; NOT FOUND; 0.10 MG + 0.02 MG DRG CT BL CALEND AL PLAS INC X 21; BYP
1705600670024; MIRANOVA; MIRANOVA; NOT FOUND; 0.10 MG + 0.02 MG DRG CT BL CALEND AL PLAS INC X 63; BYP
1705600650058; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 10 ML ; BYP
1705600650066; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 15 ML ; BYP
1705600650082; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 30 ML ; BYP
1705600650104; MAGNEVISTAN; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CX 10 FA VD INC X 100 ML ; BYP
