57846, CAPTON , CAPTON, NOT FOUND, CPR 12.5 MG x 30, ROY
55135, CAPTON , CAPTON, NOT FOUND, CPR 25 MG x 16, ROY
55136, CAPTON , CAPTON, NOT FOUND, CPR 25 MG x 28, ROY
55137, CAPTON , CAPTON, NOT FOUND, CPR 25 MG x 800, ROY
56110, CAPTON , CAPTON, NOT FOUND, CPR 50 MG x 16, ROY
56111, CAPTON , CAPTON, NOT FOUND, CPR 50 MG x 28, ROY
61929, CAPTON , CAPTON, NOT FOUND, CPR 50 MG x 800, ROY
49748, CARDIODOPA , CARDIODOPA, NOT FOUND, CPR REVEST 250 MG x 30, ROY
62866, CARDIODOPA , CARDIODOPA, NOT FOUND, CPR REVEST 250 MG x 500, ROY
49749, CARDIODOPA , CARDIODOPA, NOT FOUND, CPR REVEST 500 MG x 30, ROY
62799, CARDIODOPA , CARDIODOPA, NOT FOUND, CPR REVEST 500 MG x 500, ROY
55144, CETOZAN , CETOZAN, NOT FOUND, CPR 200 MG x 20, ROY
62126, CETOZAN , CETOZAN, NOT FOUND, CPR 200 MG x 500, ROY
55145, CETOZAN , CETOZAN, NOT FOUND, CREME DERMAT 20 MG 30 G x 1 (/G), ROY
55146, CETOZAN SHAMPOO , CETOZAN SHAMPOO, NOT FOUND, XAMP 20 MG 100 ML x 1 (/G), ROY
57595, CIMEDAX , CIMEDAX, NOT FOUND, CPR 200 MG x 20, ROY
65516, CIMEDAX , CIMEDAX, NOT FOUND, CPR 200 MG x 500, ROY
57696, CINARIX , CINARIX, NOT FOUND, CPR 25 MG x 30, ROY
77194, CINARIX , CINARIX, NOT FOUND, CPR 25 MG x 500, ROY
57697, CINARIX , CINARIX, NOT FOUND, CPR 75 MG x 30, ROY
77193, CINARIX , CINARIX, NOT FOUND, CPR 75 MG x 500, ROY
57597, CIPROXAN , CIPROXAN, NOT FOUND, CPR 500 MG x 14, ROY
62509, COLZURIC , COLZURIC, NOT FOUND, CPR 0.50 MG x 20, ROY
73357, COLZURIC , COLZURIC, NOT FOUND, CPR 0.50 MG x 500, ROY
