55315, AEROTAMOL , AEROTAMOL, NOT FOUND, CPR 2 MG x 20, ROY
55316, AEROTAMOL , AEROTAMOL, NOT FOUND, CPR 2 MG x 500, ROY
55318, AEROTAMOL , AEROTAMOL, NOT FOUND, XAR. 2 MG 120 ML x 1 (/5ML), ROY
77188, ALBENDROX , ALBENDROX, NOT FOUND, CPR 200 MG x 100, ROY
59835, ALBENDROX , ALBENDROX, NOT FOUND, CPR 200 MG x 2, ROY
59836, ALBENDROX , ALBENDROX, NOT FOUND, CPR 400 MG x 1, ROY
59837, ALBENDROX , ALBENDROX, NOT FOUND, SUSP 40 MG 10 ML x 1 (/ML), ROY
50033, ALERMINE , ALERMINE, NOT FOUND, CPR 2 MG x 20, ROY
62797, ALERMINE , ALERMINE, NOT FOUND, CPR 2 MG x 500, ROY
50034, ALERMINE , ALERMINE, NOT FOUND, XAR. 2 MG 100 ML x 1 (/5ML), ROY
57839, ANGYTON , ANGYTON, NOT FOUND, CPR 200 MG x 20, ROY
62819, ANGYTON , ANGYTON, NOT FOUND, CPR 200 MG x 500, ROY
42759, ANTIFEBRIN , ANTIFEBRIN, NOT FOUND, CPR 100 MG x 200 (INF), ROY
49929, ANTIFEBRIN , ANTIFEBRIN, NOT FOUND, CPR 500 MG x 100 (ADLT), ROY
62478, ATENOTON , ATENOTON, NOT FOUND, CPR 50 MG x 28, ROY
62508, AZIDROMIC , AZIDROMIC, NOT FOUND, CPR REVEST 500 MG x 3, ROY
55958, AZIDROMIC , AZIDROMIC, NOT FOUND, SUSP ORAL 600 MG 15 ML x 1, ROY
55959, AZIDROMIC , AZIDROMIC, NOT FOUND, SUSP ORAL 900 MG 22.5 ML x 1, ROY
