1048100090022; DIETAMINA; DIETAMINA; NOT FOUND; FR C/ 150ML ELIXIR; NCK
1048100090014; DIETAMINA; DIETAMINA; NOT FOUND; DRG CT FR PLAS OPC X 50; NCK
1048100100010; DORFEBRIL; DORFEBRIL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NCK
1048100100023; DORFEBRIL; DORFEBRIL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NCK
1048100720013; DIPRONIL; DIPRONIL; NOT FOUND; 5 MG + 2 MG SOL INJ CT AMP VD INC X 1 ML; NCK
1048100510027; DIURIT; DIURIT; NOT FOUND; 40 MG CX C/20 COMP; NCK
1048100510043; DIURIT; DIURIT; NOT FOUND; 40 MG COM CT BL AL PLAS INCX 1000; NCK
1048100510051; DIURIT; DIURIT; NOT FOUND; 40 MG COM CT BL AL PLAS LAR X 20 ; NCK
1048100510061; DIURIT; DIURIT; NOT FOUND; 40 MG COM CT BL AL PLAS LAR X 500 (EMB HOSP) ; NCK
1048100670024; DEXMIN; DEXMIN; NOT FOUND; 2MG/5ML FR C/ 120ML; NCK
1048100670016; DEXMIN; DEXMIN; NOT FOUND; 2MG CX C/ 20 COMP; NCK
1048100640011; DIADEN; DIADEN; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 10; NCK
