1057301270065; BRONDILAT; BRONDILAT; NOT FOUND; 10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML; A4H
1057301270073; BRONDILAT; BRONDILAT; NOT FOUND; 5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML; A4H
1057301270111; BRONDILAT; BRONDILAT; NOT FOUND; 5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML; A4H
1057301270091; BRONDILAT; BRONDILAT; NOT FOUND; 10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML; A4H
1057303990030; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 15; A4H
1057303990057; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 30; A4H
1057303400012; BENFLOGIN; BENFLOGIN; NOT FOUND; 30 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; A4H
1057303400071; BENFLOGIN; BENFLOGIN; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; A4H
1057303400020; BENFLOGIN; BENFLOGIN; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; A4H
1057303710021; BIOMAG; BIOMAG; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; A4H
1057303710046; BIOMAG; BIOMAG; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAST INC X 10 ; A4H
1057303710011; BIOMAG; BIOMAG; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 10; A4H
1057303710054; BIOMAG; BIOMAG; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAST INC X 30; A4H
1057301400181; BIOFENAC CLR; BIOFENAC CLR; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 14; A4H
1057301400341; BIOFENAC; BIOFENAC; NOT FOUND; 11 MG/G SOL C/ PROP (AER) FILME POLIET FR AL PRESSURIZADO C/ VALVULA X 60 G; A4H
1057301400147; BIOFENAC; BIOFENAC; NOT FOUND; 11 MG/G SOL C/ PROP (AER) CT FR AL PRESSURIZADO C/ VALVULA X 60 G; A4H
1057301400171; BIOFENAC; BIOFENAC; NOT FOUND; 44.94 MG ML SOL OR CT FR PLAS OPC GOT X 20 ML; A4H
1057301400058; BIOFENAC; BIOFENAC; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; A4H
1057301400252; BIOFENAC; BIOFENAC; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; A4H
1057301400153; BIOFENAC DI; BIOFENAC DI; NOT FOUND; 50MG COM CT BL AL PLAS INC X 20; A4H
1057301400333; BIOFENAC DI; BIOFENAC DI; NOT FOUND; 46.5 MG COM DISP CT 2 STR ALU-ALU X 10; A4H
1057301400325; BIOFENAC DI; BIOFENAC DI; NOT FOUND; 46.5 MG COM DISP CT STR ALU-ALU X 10; A4H
1057301400023; BIOFENAC LP; BIOFENAC LP; NOT FOUND; 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 20; A4H
1057301400295; BIOFENAC LP; BIOFENAC LP; NOT FOUND; 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 10; A4H
1057304100020; BETADINE; BETADINE; NOT FOUND; 8 MG COM CT BL AL PLAS INC X 30; A4H
1057304100039; BETADINE; BETADINE; NOT FOUND; 8 MG COM CT BL AL PLAS INC X 60; A4H
1057304100063; BETADINE; BETADINE; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 60; A4H
1057304100081; BETADINE; BETADINE; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 30; A4H
1057304100055; BETADINE; BETADINE; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 30; A4H
1057304100098; BETADINE; BETADINE; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 60; A4H
