1057302060014; ACCUVIT; ACCUVIT; NOT FOUND; COMP REV CT FR PLAS OPC X 30; A4H
1057302060021; ACCUVIT; ACCUVIT; NOT FOUND; COM REV CT BL ALU ALU X 30; A4H
1057303910037; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; A4H
1057303920032; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25 ; A4H
1057304500029; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT AL/AL X 4; A4H
1057304090106; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; A4H
1057304090173; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; A4H
1057304090033; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; A4H
1057303850018; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 250 MG/5 ML PO SUSP EXTEMP OR CT FR VD AMB X 150 ML + SER DOS X 10 ML; A4H
1057303840012; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 400MG/5ML PO PREP EXT SUS OR CT FR VD AMB X 100 ML + SER DOS X 10ML; A4H
1057303950039; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; A4H
1057303950055; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; A4H
1057303950071; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; A4H
1057303960018; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM CT BL AL PLAS TRANS X 14; A4H
1057304250022; ARISTAB; ARISTAB; NOT FOUND; 10 MG COM CT BL AL/AL X 10; A4H
1057304250030; ARISTAB; ARISTAB; NOT FOUND; 10 MG COM CT BL AL/AL X 30; A4H
1057304250065; ARISTAB; ARISTAB; NOT FOUND; 15 MG COM CT BL AL/AL X 10; A4H
1057304250073; ARISTAB; ARISTAB; NOT FOUND; 15 MG COM CT BL AL/AL X 30; A4H
1057304250111; ARISTAB; ARISTAB; NOT FOUND; 20 MG COM CT BL AL/AL X 30; A4H
1057304250154; ARISTAB; ARISTAB; NOT FOUND; 30 MG COM CT BL AL/AL X 30; A4H
1057304260028; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 10MG COM CT BL AL/AL X 10; A4H
1057304260060; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 15MG COM CT BL AL/AL X 10; A4H
1057304260109; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 20MG COM CT BL AL/AL X 10; A4H
1057304260141; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 30MG COM CT BL AL/AL X 10; A4H
1057303810024; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; A4H
1057303810067; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; A4H
1057303810105; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; A4H
1057303810148; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 30; A4H
1057303240023; ANDANTOL; ANDANTOL; NOT FOUND; 7.5 MG/G GELEIA CT BG AL X 40 G; A4H
1057302860011; ARTROLIVE; ARTROLIVE; NOT FOUND; 500 MG + 400 MG CAP GEL CT FR PLAS OPC X 30  ; A4H
1057302860028; ARTROLIVE; ARTROLIVE; NOT FOUND; 500 MG + 400 MG CAP GEL CT FR PLAS OPC X 90; A4H
1057302860060; ARTROLIVE; ARTROLIVE; NOT FOUND; 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 90; A4H
1057302860052; ARTROLIVE; ARTROLIVE; NOT FOUND; 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 30; A4H
1057302860044; ARTROLIVE; ARTROLIVE; NOT FOUND; 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 15; A4H
1057303780028; ADINOS; ADINOS; NOT FOUND; 0.5MG/G GEL CREM CT BG AL X 15 G; A4H
1057303780044; ADINOS; ADINOS; NOT FOUND; 0.5MG/G GEL CREM CT BG AL X 30 G; A4H
1057304070016; ADINOS GEN; ADINOS GEN; NOT FOUND; 0.5 MG/G + 1.00 MG/G GEL CREM CT BG AL X 10 G; A4H
1057304070024; ADINOS GEN; ADINOS GEN; NOT FOUND; 0.5 MG/G + 1.0 MG/G GEL CREM CT BG AL X 15G; A4H
1057304070032; ADINOS GEN; ADINOS GEN; NOT FOUND; 0.5 MG/G + 1.0 MG/G GEL CREM CT BG AL X 20G; A4H
1057304070040; ADINOS GEN; ADINOS GEN; NOT FOUND; 0.5 MG/G + 1.0 MG/G GEL CREM CT BG AL X 30G; A4H
1057302640028; ALLESTRA; ALLESTRA; NOT FOUND; 0.075MG+ 0.020MG DRG CT BL AL PLAS INC X 21; A4H
1057302640011; ALLESTRA; ALLESTRA; NOT FOUND; 0.075MG+ 0.030MG DRG CT BL AL PLAS INC X 21; A4H
1057302640036; ALLESTRA; ALLESTRA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT ENV AL BL AL PLAS INC X 21; A4H
1057302640044; ALLESTRA; ALLESTRA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT ENV AL BL AL PLAS INC X 63; A4H
1057302640052; ALLESTRA; ALLESTRA; NOT FOUND; 0.075 MG + 0.020 MG DRG CT ENV AL BL AL PLAS INC X 63; A4H
1057302050085; ANTUX; ANTUX; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; A4H
1057302050093; ANTUX; ANTUX; NOT FOUND; 6 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X; A4H
