1057304240035; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0MG/G POM DERM CT BG AL X 20G; A4H
1057303940041; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; A4H
1057301370029; VITA E; VITA E; NOT FOUND; 400MG CAP GEL MOLE CT FR PLAS OPC X 30; A4H
1057300800044; VERTIX; VERTIX; NOT FOUND; 5.0MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML ; A4H
1057300800036; VERTIX; VERTIX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 50; A4H
1057300800028; VERTIX; VERTIX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; A4H
1057300880218; VERTIZINE; VERTIZINE; NOT FOUND; 10 MG + 3 MG COM CT BL AL PLAS INC X 20; A4H
1057304360170; VIVENCIA; VIVENCIA; NOT FOUND; 2 MG/ML SOL OR CT FR VD AMB X 50 ML + SER DOS ; A4H
1057304360189; VIVENCIA; VIVENCIA; NOT FOUND; 2 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOS ; A4H
1057304360014; VIVENCIA; VIVENCIA; NOT FOUND; 1.5 MG CAP CT BL AL PLAS TRANS X 15 ; A4H
1057304360022; VIVENCIA; VIVENCIA; NOT FOUND; 1.5 MG CAP CT BL AL PLAS TRANS X 30; A4H
1057304360065; VIVENCIA; VIVENCIA; NOT FOUND; 3.0 MG CAP CT BL AL PLAS TRANS X 30; A4H
1057304360073; VIVENCIA; VIVENCIA; NOT FOUND; 3.0 MG CAP CT BL AL PLAS TRANS X 60; A4H
1057304360103; VIVENCIA; VIVENCIA; NOT FOUND; 4.5 MG CAP CT BL AL PLAS TRANS X 30; A4H
1057304360146; VIVENCIA; VIVENCIA; NOT FOUND; 6.0 MG CAP CT BL AL PLAS TRANS X 30; A4H
