1057303340036; MITICOÇAN; MITICOCAN; NOT FOUND; 200 MCL/ML SOL TOP CR FR VD AMB X 100 ML; A4H
1057303340011; MITICOÇAN; MITICOCAN; NOT FOUND; 100 MG/G SAB CT FILME PLAS TRANSP X 80 G; A4H
1057303980027; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4MG/ML + 0.05MG/ML XPE CT FR PET AMB X 120 ML + CP MED; A4H
1057303360071; MAXICALC; MAXICALC; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 60; A4H
1057303360045; MAXICALC; MAXICALC; NOT FOUND; D-200 500 MG + 200 UI COM REV CT FR PLAS OPC X 60; A4H
1057303360010; MAXICALC; MAXICALC; NOT FOUND; D-400 500 MG + 400 UI COM REV CT FR PLAS OPC X 60; A4H
1057301140013; MIONEVRIX; MIONEVRIX; NOT FOUND; COM REV CT 2 BL AL PLAS INC X 10; A4H
1057302930042; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 15; A4H
1057302930123; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; A4H
1057302930131; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; A4H
1057302930050; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; A4H
1057302930093; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10 ; A4H
1057302930018; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 10; A4H
1057300370018; MENOPAX; MENOPAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; A4H
1057302930077; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 4; A4H
1057302930158; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 4; A4H
1057302380042; MAXILIV; MAXILIV; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC X 20ML; A4H
1057302380115; MAXILIV; MAXILIV; NOT FOUND; 500MG COM CT 2 BL AL PLAS INC X 10; A4H
1057303280025; MERACILINA; MERACILINA; NOT FOUND; 500.000 U COM CT STR X 12; A4H
1057303280017; MERACILINA; MERACILINA; NOT FOUND; 500.000 U COM CT 25 STR X 10; A4H
1057303770014; MERITOR; MERITOR; NOT FOUND; 2 MG + 1000 MG COM REV CT BL AL PLAS INC X 10 ; A4H
1057303770049; MERITOR; MERITOR; NOT FOUND; 2 MG + 1000 MG COM REV CT BL AL PLAS INC X 30; A4H
1057303770057; MERITOR; MERITOR; NOT FOUND; 4 MG + 1000 MG COM REV CT BL AL PLAS INC X 10 ; A4H
1057303770081; MERITOR; MERITOR; NOT FOUND; 4 MG + 1000 MG COM REV CT BL AL PLAS INC X 30; A4H
1057304050058; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG GRAN CT 10 SACH X 350 MG ; A4H
1057304050066; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG GRAN CT 30 SACH X 350 MG; A4H
1057304060010; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 10; A4H
1057304330026; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 4 MG GRAN CT 10 SACH X 350 MG; A4H
1057304330034; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 4 MG GRAN CT 30 SACH X 350 MG; A4H
1057304050104; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG COM MAST CT BL AL AL X 10; A4H
1057304050112; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG COM MAST CT BL AL AL X 30; A4H
1057304050120; MONTELAIR; MONTELAIR; NOT FOUND; 5 MG COM MAST CT BL AL AL X 10; A4H
1057304050139; MONTELAIR; MONTELAIR; NOT FOUND; 5 MG COM MAST CT BL AL AL X 30; A4H
1057304050023; MONTELAIR; MONTELAIR; NOT FOUND; 10 MG COM REV CT BL AL AL X 10; A4H
1057304050041; MONTELAIR; MONTELAIR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; A4H
