1057303720068; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 60; A4H
1057303720017; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 10; A4H
1057303720025; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 30; A4H
1057303720033; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 60; A4H
1057303720041; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 10; A4H
1057303720051; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 30; A4H
1057302460021; FEMME; FEMME; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
1057302490018; FEMME COM FLÚOR; FEMME FLUOR; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
1057303130147; FLOGORAL; FLOGORAL; NOT FOUND; 5 MG/G CR DENT CT BG AL X 70 G; A4H
1057303130041; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR 150ML TRADICIONAL; A4H
1057303130317; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR NEB X 30ML (SABOR CEREJA); A4H
1057303130023; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR NEB X 30ML (SABOR MENTA); A4H
1057303130171; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR CEREJA); A4H
1057303130163; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR LARANJA); A4H
1057303130181; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR LIMAO); A4H
1057303130155; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR MENTA); A4H
1057303130015; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR VD X 150ML (SABOR LARANJA); A4H
1057303420048; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; 50 MG/ML SOL GIN CT FR VD AMB X 100 ML; A4H
1057303130236; FLOGORAL; FLOGORAL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS INC X 150 ML (SABOR LARANJA); A4H
1057303130244; FLOGORAL; FLOGORAL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS INC X 150 ML (SABOR MENTA); A4H
1057303420013; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; 53.2 MG/G PO PREP PO EXTEMP CT 10 ENV AL POLIET X 9.4 G; A4H
1057303420080; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; 50 MG/ML SOL GIN CT FR PET AMB X 100 ML ; A4H
1057303420056; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; 53.2 MG/G PO PREP PO EXTEMP CT 04 ENV AL POLIET X 9.4 G; A4H
1057303420099; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; 50 MG/ML SOL GIN CT FR PET AMB X 100 ML + CP MED; A4H
1057303130120; FLOGORAL; FLOGORAL; NOT FOUND; 3 MG PAS DROPS CT 3 STRIP PAPEL POLI/AL POLI X 4 (SABOR MENTA); A4H
1057303130104; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR LARANJA); A4H
1057303130090; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR CEREJA); A4H
1057303130074; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR LIMAO); A4H
