1057303170017; DECADRONAL; DECADRONAL; NOT FOUND; 8MG/ML SUS INJ CT FA INC X 2 ML; A4H
1057302970011; DUO-DECADRON; DUO DECADRON; NOT FOUND; 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 2 ML + SER DOS ; A4H
1057302970028; DUO-DECADRON; DUO DECADRON; NOT FOUND; 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DOS  ; A4H
1057303260059; DUALID S; DUALID S; NOT FOUND; 75 MG CAP GEL DURA MCGRAN CT FR VD AMB X 20; A4H
1057303260075; DUALID S; DUALID S; NOT FOUND; 75 MG CAP GEL DURA MCGRAN CT FR VD AMB X 30; A4H
1057303260091; DUALID S; DUALID S; NOT FOUND; 75 MG COM LIB LENTA CT BL AL PLAS INC X 20; A4H
1057303260105; DUALID S; DUALID S; NOT FOUND; 75 MG COM LIB LENTA CT BL AL PLAS INC X 30; A4H
1057302310052; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 0.4 MG + 1 MG / ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML; A4H
1057302310060; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 2 MG + 2.5 MG SOL OR CT FR PLAS OPC GOT X 20 ML; A4H
1057302310109; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 2 MG + 2.5 MG SOL OR CT FR PLAS OPC GOT X 30 ML; A4H
1057302310011; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG CT BL AL PLAS INC X 12; A4H
1057302310176; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG DISPLAY CT BL AL PLAS INC X 100 (EMB MULT); A4H
1057300210018; DORILAX; DORILAX; NOT FOUND; 350 MG + 150 MG + 50 MG COM CT BL AL PLAS INC X 12 ; A4H
1057300210026; DORILAX; DORILAX; NOT FOUND; 350 MG + 150 MG + 50 MG COM BL AL PLAS INC X 100 (EMB MULT); A4H
1057301180074; DAYVIT; DAYVIT; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
1057300700021; DIGEPLUS; DIGEPLUS; NOT FOUND; CAP GEL CT 3 BL AL PLAS INC X 10; A4H
1057304380031; DONILA; DONILA; NOT FOUND; 5MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304380074; DONILA; DONILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304380090; DONILA; DONILA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 7; A4H
1057304380066; DONILA; DONILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 15; A4H
1057304670013; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+5MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
1057304670080; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+20MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304670021; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+5MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304670031; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+10MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
1057304670048; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+10MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304670056; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+15MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
1057304670064; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+15MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057304670072; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+20MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
1057302310133; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG CT BL AL PLAS INC X 100 (EMB MULT); A4H
1057302130046; DEPRAX; DEPRAX; NOT FOUND; 20 MG CAP GEL DURA CT 2 BL AL PLAS INC X 14; A4H
1057303650027; DIGEPLUS; DIGEPLUS; NOT FOUND; 7 MG + 40 MG + 50 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; A4H
1057303650035; DIGEPLUS; DIGEPLUS; NOT FOUND; 7 MG + 40 MG + 50 MG CAP GEL DURA CT BL AL PLAS TRANS X 12; A4H
1057304550018; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML + SER DOS; A4H
1057304540012; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS TRANS X 10; A4H
1057303020015; DECADRON; DECADRON; NOT FOUND; 2MG/ML SOL INJ CT 2 AMP X 1 ML; A4H
1057303020031; DECADRON; DECADRON; NOT FOUND; 4MG/ML SOL INJ CT 1 FA X 2.5 ML; A4H
1057303030045; DECADRON; DECADRON; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + COP; A4H
1057302980023; DECADRON; DECADRON; NOT FOUND; 0.5 MG/ML + 3.5 MG/ML + 5 MG/ML SOL NAS CT FR PLAS OPC SPR X 20 ML; A4H
1057303030010; DECADRON; DECADRON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; A4H
1057303030029; DECADRON; DECADRON; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 20; A4H
1057303030037; DECADRON; DECADRON; NOT FOUND; 4.0 MG COM CT BL AL PLAS INC X 10; A4H
1057304280029; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 8 MG COM CT BL AL PLAS INC X 30; A4H
1057304270023; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 16 MG COM CT BL AL PLAS INC X 30; A4H
1057304270066; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL PLAS INC X 30; A4H
1057304300038; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL/AL X 30; A4H
1057304300089; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL/AL X 30; A4H
1057304300135; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL/AL X 30; A4H
1057303830084; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR ABACAXI); A4H
1057303830076; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR LARANJA/LIMAO) ; A4H
1057302480012; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; A4H
1057302480020; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; A4H
1057302480039; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT  BL AL PLAS INC X 10; A4H
1057303830017; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
1057303830041; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR ABACAXI); A4H
1057303830051; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR ABACAXI); A4H
1057303830025; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
1057303830068; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 60 SACH X 5 G (SABOR ABACAXI); A4H
1057303830033; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 60 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
1057304470049; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; A4H
1057304470081; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + COP; A4H
1057303430027; DESOBESI-M; DESOBESI M; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; A4H
1057303430019; DESOBESI-M; DESOBESI M; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; A4H
1057303020066; DECADRON INJETÁVEL; DECADRON INJETAVEL; NOT FOUND; 2MG/ML SOL INJ CT 100 AMP VD TRANS X 1 ML (EMB HOSP); A4H
1057303020082; DECADRON INJETÁVEL; DECADRON INJETAVEL; NOT FOUND; 4MG/ML SOL INJ CT 100 FA VD TRANS  X 2.5 ML  (EMB HOSP); A4H
1057302990010; DECADRON COLÍRIO; DECADRON COLIRIO; NOT FOUND; 1.33 MG/ML + 6.25 MG/ML SOL OCUL CT FR PLAS OPC GOT X 5 ML; A4H
1057303700024; DORALIV; DORALIV; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; A4H
1057303700059; DORALIV; DORALIV; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; A4H
1057303860099; DORALIV GEL; DORALIV GEL; NOT FOUND; 20 MG/ML GEL OR CT FR PLAS X 150 ML + CP MED; A4H
1057303860064; DORALIV GEL; DORALIV GEL; NOT FOUND; 20 MG/ML GEL OR CT FR PLAS X 60 ML + COL MED; A4H
1057300160029; DEXTROVITASE; DEXTROVITASE; NOT FOUND; SOL INJ CT AMP VD INC X 10 ML; A4H
1057300160037; DEXTROVITASE; DEXTROVITASE; NOT FOUND; SOL INJ CT AMP VD INC X 20 ML; A4H
1057304570043; DORENE; DORENE; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; A4H
1057304570078; DORENE; DORENE; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; A4H
1057304570124; DORENE; DORENE; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; A4H
1057304570159; DORENE; DORENE; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; A4H
1057304640041; DORENE TABS; DORENE TABS; NOT FOUND; 75 MG COM CT BL AL PLAS TRANS X 15; A4H
1057304640076; DORENE TABS; DORENE TABS; NOT FOUND; 75 MG COM CT BL AL PLAS TRANS X 30; A4H
1057304640122; DORENE TABS; DORENE TABS; NOT FOUND; 150 MG COM CT BL AL PLAS TRANS X 15; A4H
1057304640157; DORENE TABS; DORENE TABS; NOT FOUND; 150 MG COM CT BL AL PLAS TRANS X 30; A4H
