1057302100120; NOVAMOX; NOVAMOX; NOT FOUND; (200MG+50MG APOS RECONS) PO P/ PREP EXT CT FR VD A; A4H
1057302100074; NOVAMOX; NOVAMOX; NOT FOUND; (80 MG/ML + 11.4 MG/ML APOS RECONST) PO PREP EXT CT FR VD AMB + FR VD AMB DIL X 90 ML; A4H
1057302100066; NOVAMOX; NOVAMOX; NOT FOUND; (80 MG/ML + 11.4 MG/ML APOS RECONST) PO PREP EXT CT FR VD AMB + FR VD AMB DIL X 60 ML; A4H
1057302100112; NOVAMOX; NOVAMOX; NOT FOUND; 500MG+125MG COM REV CT FR VD AMB X 21; A4H
1057302100041; NOVAMOX; NOVAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14 ; A4H
1057302100058; NOVAMOX; NOVAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; A4H
1057300760311; NOVOCILIN; NOVOCILIN; NOT FOUND; 250 MG / 5 ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML + SER DOS X 10 ML; A4H
1057300760328; NOVOCILIN; NOVOCILIN; NOT FOUND; 400 MG / 5 ML PO PREP EXTEMP SUS OR CT FR VD AMB X 100 ML + SER DOS X 10 ML; A4H
1057300760352; NOVOCILIN; NOVOCILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; A4H
1057300760298; NOVOCILIN; NOVOCILIN; NOT FOUND; 875 MG COM CT BL AL PLAS INC X 20; A4H
1057300760271; NOVOCILIN; NOVOCILIN; NOT FOUND; 875 MG COM CT BL AL PLAS INC X 14; A4H
1057300760107; NOVOCILIN; NOVOCILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; A4H
1057302240089; NOVATREX; NOVATREX; NOT FOUND; 40 MG/ML APOS RECONS. PO P/ PREP EXT CT FR VD AMB + FR DIL X 10 ML + 3 SER DOS X 5 ML; A4H
1057302240097; NOVATREX; NOVATREX; NOT FOUND; 40 MG/ML APOS RECONS. PO P/ PREP EXT CT FR VD AMB + FR DIL X 15 ML + 3 SER DOS X 5 ML; A4H
1057302240070; NOVATREX; NOVATREX; NOT FOUND; 500 MG COM REV CT BL PLAS INC X 2; A4H
1057302240046; NOVATREX; NOVATREX; NOT FOUND; 500 MG COM REV CT BL PLAS INC X 3; A4H
1057303320043; NOVOPULMON NOVOLIZER; NOVOPULMON NOVOLIZER; NOT FOUND; 200MCG/DOS PO INAL CX TB PLAS+REF.POL.X200DOSES(EMB REFIL); A4H
1057303320061; NOVOPULMON NOVOLIZER; NOVOPULMON NOVOLIZER; NOT FOUND; 200MCG/DOS PO INAL CX TB PLAS+REF.POL.X200DOSES(INAL); A4H
