1057300550056; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 15; A4H
1057300550048; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30; A4H
1057300550072; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS TRANS X 4; A4H
1057303640064; TALERC; TALERC; NOT FOUND; 2 MG/ML XPE CT FR VD AMB X 50 ML; A4H
1057303640021; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; A4H
1057303640031; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; A4H
1057303640056; TALERC; TALERC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; A4H
1057303310021; TRICANGINE-A; TRICANGINE A; NOT FOUND; 5000 UI/G + 20 MG/G CREM VAG CT BG AL X 85 G + 15 APLIC PLAS DESCART; A4H
1057303310031; TRICANGINE-A; TRICANGINE A; NOT FOUND; 25000 UI/G + 100 MG/G OVL CT 3 STR X 5 + APLIC PLAS DESCART; A4H
1057303390157; TIMASEN SR; TIMASEN SR; NOT FOUND; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; A4H
1057303390033; TIMASEN SR; TIMASEN SR; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB X 10 ML; A4H
1057303390106; TIMASEN SR; TIMASEN SR; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; A4H
1057303390017; TIMASEN SR; TIMASEN SR; NOT FOUND; 100 MG CAP LIB PROG BL AL PLAS OPC X 10 (SR); A4H
1057303390122; TIMASEN SR; TIMASEN SR; NOT FOUND; 50 MG CAP LIB PROG CT BL AL PLAS OPC X 10 (SR); A4H
1057303210019; TEOREMIN; TEOREMIN; NOT FOUND; 140 MG CAP GEL DURA CT 2 BL AL PLAS INC X 9 ; A4H
1057303490011; TRANSPULMIN; TRANSPULMIN; NOT FOUND; 13.33 MG/ML XPE AD FR PLAS INC X 150 ML + CP MED PP 15 ML; A4H
1057303540019; TRANSPULMIN; TRANSPULMIN; NOT FOUND; 6.667 MG/ML XPE INF FR PLAS INC X 150 ML + CP MED PP 15 ML; A4H
1057303550014; TRANSPULMIN; TRANSPULMIN; NOT FOUND; (25 MG + 100 MG + 50 MG + 10 MG)/G BALS CT BG AL X 20 G; A4H
1057303550022; TRANSPULMIN; TRANSPULMIN; NOT FOUND; (12.5 MG + 30 MG + 4 MG + 12.5 MG)/G SUP CT STR X 5; A4H
1057302150098; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT 2 BL AL PLAST INC X 5; A4H
1057302150101; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT 3 BL AL PLAST INC X 5; A4H
1057302150012; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT BL AL PLAST INC X 4; A4H
1057300570081; TETROID; TETROID; NOT FOUND; 100MCG COM CT 2 BL AL PLAS X 50; A4H
1057300570103; TETROID; TETROID; NOT FOUND; 150MCG COM CT 2 BL AL PLAS X 50; A4H
1057300570091; TETROID; TETROID; NOT FOUND; 25MCG COM CT 2 BL AL PLAS X 50; A4H
1057300570073; TETROID; TETROID; NOT FOUND; 50MCG COM CT 2 BL AL PLAS X 50; A4H
