1057302230024; OSTEORAL; OSTEORAL; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; A4H
1057302820085; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT FLOW PACK BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
1057302820026; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40 ; A4H
1057302820018; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20MG CAP GEL DURA + 500MG C"20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 14 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
1057302820077; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA CT FLOW PACK BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
1057302820050; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
1057302820131; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
1057303370016; OSSOPAN; OSSOPAN; NOT FOUND; 100 MG/G GRAN CT FR PLAS OPC X 100 G; A4H
1057303370131; OSSOPAN; OSSOPAN; NOT FOUND; COMP. REVESTIDOS - 800MG COM REV FR VD AMB X 30; A4H
1057303370113; OSSOPAN; OSSOPAN; NOT FOUND; 200 MG DRG CT FR VD INC X 30; A4H
1057304220018; OSTEOBAN; OSTEOBAN; NOT FOUND; 150 MG COM REV CT BL AL/AL X 1; A4H
1057304320039; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5  MG COM CT BL AL/AL X 30; A4H
1057304320081; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM CT BL AL/AL X 30; A4H
1057304320136; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL/AL X 30; A4H
1057304080054; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL OR CT FR VD AMB GOT X 15 ML ; A4H
1057303800096; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS TRANS X 7; A4H
1057303800223; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; A4H
1057303800061; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS TRANS X 30; A4H
1057303800037; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS TRANS X 15; A4H
