1057300080076; COLPISTATIN; COLPISTATIN; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC; A4H
1057300660123; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G CREM DERM CT BG AL X 30 G; A4H
1057300660141; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G POM DERM CT BG AL X 30 G; A4H
1057300660131; CANDICORT; CANDICORT; NOT FOUND; 20 MG/G + 0.64 MG/G POM DERM CT BG X 10 G; A4H
1057300660115; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G CREM DERM CT BG AL X 10 G; A4H
1057304010031; CLOPIN; CLOPIN; NOT FOUND; 75 MG COM REV CT BL AL/AL X 15; A4H
1057304010056; CLOPIN; CLOPIN; NOT FOUND; 75 MG COM REV CT BL AL/AL X 30; A4H
1057300040112; CARNABOL; CARNABOL; NOT FOUND; SUS OR CT FR VD AMB X 120 ML + CP MED X 10 ML; A4H
1057300040139; CARNABOL; CARNABOL; NOT FOUND; COM OR CT STR AL X 20; A4H
1057300050061; CEFALIUM; CEFALIUM; NOT FOUND; 1 MG + 450 MG + 75 MG + 10 MG COM CT BL AL PLAS INC X 12; A4H
1057300690052; CEFALIV; CEFALIV; NOT FOUND; COM CT BL AL PLAS INC X 12; A4H
1057300100098; COMBIRON; COMBIRON; NOT FOUND; SOL OR CT FR VD AMB X 120ML + CP MED X 10ML; A4H
1057300100042; COMBIRON; COMBIRON; NOT FOUND; SOL OR CT FR VD AMB X 30ML + CGT; A4H
1057300100107; COMBIRON; COMBIRON; NOT FOUND; DRG CT 3 BL AL PLAS INC X 15; A4H
1057301490015; CANDIDERM; CANDIDERM; NOT FOUND; 2% CREM DERM CT BG AL X 30G; A4H
1057300670019; CANDORAL; CANDORAL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; A4H
1057303930011; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; A4H
1057303930038; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; A4H
1057303670036; COMBIRON FÓLICO; COMBIRON FOLICO; NOT FOUND; COM REV CT BL AL PLAS INC X 45; A4H
1057303670011; COMBIRON FÓLICO; COMBIRON FOLICO; NOT FOUND; COM REV CT BL AL PLAS INC X 15 ; A4H
1057303730012; COMBIRON; COMBIRON; NOT FOUND; SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML; A4H
1057303730047; COMBIRON; COMBIRON; NOT FOUND; SUS OR CT FR PLAS PET AMB X 30 ML + CGT; A4H
1057304450013; CIPIDE; CIPIDE; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 10; A4H
1057304450031; CIPIDE; CIPIDE; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30 ; A4H
1057304460035; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS TRANS X 30; A4H
1057303760108; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30; A4H
1057303760086; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 15; A4H
1057303760027; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 15; A4H
1057303760043; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 30; A4H
1057304350019; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV CT BL AL PLAS TRANS X 15; A4H
