1057303300026; PRELONE; PRELONE; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 120 ML + PIPETA DOSADORA; A4H
1057303300034; PRELONE; PRELONE; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 60 ML + PIPETA DOSADORA; A4H
1057303300085; PRELONE; PRELONE; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 10 ML; A4H
1057303300107; PRELONE; PRELONE; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 20 ML; A4H
1057303300050; PRELONE; PRELONE; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 30 ML + PIPETA DOSADORA; A4H
1057303300018; PRELONE; PRELONE; NOT FOUND; 20 MG COM CT BL AL/AL X 10; A4H
1057303300042; PRELONE; PRELONE; NOT FOUND; 5 MG COM CT BL AL/AL X 20; A4H
1057303300069; PRELONE; PRELONE; NOT FOUND; 5 MG COM CT BL AL/AL X 10; A4H
1057302180027; PARASIN; PARASIN; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; A4H
1057302180019; PARASIN; PARASIN; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 1; A4H
1057302590012; POSTINOR-2; POSTINOR 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; A4H
1057302590020; POSTINOR UNO; POSTINOR UNO; NOT FOUND; 1.5 MG COM CT BL AL PLAS INC X 1; A4H
1057304130027; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; A4H
1057304130035; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; A4H
1057304130043; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 42; A4H
1057304130078; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; A4H
1057304130086; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; A4H
1057304130094; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 42; A4H
1057304590028; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 5 MG COM CT BL AL/AL X 20; A4H
1057304590044; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 20 MG COM CT BL AL/AL X 10; A4H
1057304580073; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; A4H
