1057304510024; LEDAR; LEDAR; NOT FOUND; 70 MG COM CT BL AL/AL X 4; A4H
1057304440026; LEVODOPA+CLORIDRATO DE BENSERAZIDA; LEVODOPA CLORIDRATO BENSERAZIDA; NOT FOUND; 200 MG + 50 MG COM CT FR VD AMB X 30; A4H
1057303330091; LABEL; LABEL; NOT FOUND; 15 MG/ML XPE CT FR VD AMB X 120 ML; A4H
1057304370028; LABEL; LABEL; NOT FOUND; 40 MG/ML SOL OR FR VD AMB CGT X 30 ML ; A4H
1057304370011; LABEL; LABEL; NOT FOUND; 40 MG/ML SOL OR FR VD AMB CGT X 45 ML ; A4H
1057303330057; LABEL; LABEL; NOT FOUND; 150 MG COM REV CT STR AL X 20; A4H
1057303330065; LABEL; LABEL; NOT FOUND; 300 MG COM REV CT STR AL X 12; A4H
1057303330073; LABEL; LABEL; NOT FOUND; 300 MG COM REV CT STR AL X 20; A4H
1057302210099; LANZOL; LANZOL; NOT FOUND; 15 MG CAP GEL LIB RETARD CT FR PLAS OPC X 14; A4H
1057302210074; LANZOL; LANZOL; NOT FOUND; 30 MG CAP GEL LIB RETARD CT FR PLAS OPC X 14; A4H
1057302210066; LANZOL; LANZOL; NOT FOUND; 30 MG CAP GEL LIB RETARD CT FR PLAS OPC X 7; A4H
1057304520038; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS TRANS X 7; A4H
1057304520046; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS TRANS X 10; A4H
1057304530017; LIVEPAX; LIVEPAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 3; A4H
1057304530033; LIVEPAX; LIVEPAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 7; A4H
1057304530041; LIVEPAX; LIVEPAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 10; A4H
1057303660030; LEVOID; LEVOID; NOT FOUND; 25 MCG COM CT BL AL AL X 30; A4H
1057303660091; LEVOID; LEVOID; NOT FOUND; 50 MCG COM CT BL AL AL X 30; A4H
1057303660154; LEVOID; LEVOID; NOT FOUND; 75 MCG COM CT BL AL AL X 30; A4H
1057303660219; LEVOID; LEVOID; NOT FOUND; 88 MCG COM CT BL AL AL X 30; A4H
1057303660278; LEVOID; LEVOID; NOT FOUND; 100 MCG COM CT BL AL AL X 30; A4H
1057303660332; LEVOID; LEVOID; NOT FOUND; 112 MCG COM CT BL AL AL X 30; A4H
1057303660391; LEVOID; LEVOID; NOT FOUND; 125 MCG COM CT BL AL AL X 30; A4H
1057303660456; LEVOID; LEVOID; NOT FOUND; 150 MCG COM CT BL AL AL X 30; A4H
1057303660510; LEVOID; LEVOID; NOT FOUND; 175 MCG COM CT BL AL AL X 30; A4H
1057303660571; LEVOID; LEVOID; NOT FOUND; 200 MCG COM CT BL AL AL X 30; A4H
1057303660618; LEVOID; LEVOID; NOT FOUND; 38MCG COM CT BL AL AL X 30 ; A4H
