501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301101159111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301105154114, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML, AB3
501301101159111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301105154114, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML, AB3
501301101159111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301105154114, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML, AB3
501301101159111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301105154114, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML, AB3
501301101159111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML, AB3
501301102155111, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML, AB3
501301103151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML, AB3
501301104158116, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML, AB3
501301105154114, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML, AB3
