501302402152114, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CT FA VD INC X 15 ML + DIL AMP PLAS INC X 3 ML, AB3
501302401156116, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 15 ML + 10 DIL AMP PLAS INC X 3 ML , AB3
501302403159112, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 15 ML + 25 DIL AMP PLAS INC X 3 ML, AB3
501302404155110, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 15 ML + 5 DIL AMP PLAS INC X 3 ML, AB3
501302410155119, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 15 ML + BOLS PLAS X 100 ML (EMB HOSP), AB3
501302405151119, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CT FA VD INC X 30 ML + DIL AMP PLAS INC X 3 ML, AB3
501302406158117, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 30 ML + 10 DIL AMP PLAS INC X 3 ML, AB3
501302407154115, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 30 ML + 25 DIL AMP PLAS INC X 3 ML, AB3
501302408150113, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 30 ML + 5 DIL AMP PLAS INC X 3 ML, AB3
501302409157111, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 30 ML + BOLS PLAS X 100 ML (EMB HOSP), AB3
501300502151318, TOBRAMINA, TOBRAMINA, NOT FOUND, TOBRAMINA 75 MG - 1 CAIXA COM 2 AMPS., AB3
501302402152114, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CT FA VD INC X 15 ML + DIL AMP PLAS INC X 3 ML, AB3
501302401156116, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 15 ML + 10 DIL AMP PLAS INC X 3 ML , AB3
501302403159112, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 15 ML + 25 DIL AMP PLAS INC X 3 ML, AB3
501302404155110, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 15 ML + 5 DIL AMP PLAS INC X 3 ML, AB3
501302410155119, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 200 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 15 ML + BOLS PLAS X 100 ML (EMB HOSP), AB3
501302405151119, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CT FA VD INC X 30 ML + DIL AMP PLAS INC X 3 ML, AB3
501302406158117, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 30 ML + 10 DIL AMP PLAS INC X 3 ML, AB3
501302407154115, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 30 ML + 25 DIL AMP PLAS INC X 3 ML, AB3
501302408150113, TEICOPLANINA, TEICOPLANINA, TEICOPLANINA, 400 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 30 ML + 5 DIL AMP PLAS INC X 3 ML, AB3
