504613080017706; ACETATO DE CIPROTERONA+ETINILESTRADIOL; ACETATO CIPROTERONA ETINILESTRADIOL; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 ; BF8
504611701132111; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; BF8
504612001118112; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200MG COM CT BL AL PLAS INC X 10 ; BF8
504612002114110; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; BF8
504613110018206; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS TRANS X 4; BF8
504614020018903; ALENDRUS; ALENDRUS; NOT FOUND; 70 MG COM CT BL AL PLAS TRANS X 4; BF8
504612100014106; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS TRANS X 30; BF8
504612100014206; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS TRANS X 30; BF8
504612100014306; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS TRANS X 30; BF8
504612100014406; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS TRANS X 30; BF8
504600101139118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD; BF8
504600102119110; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BF8
504613010015616; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 15; BF8
504613010015716; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 21; BF8
504600202113114; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUS OR CT FR PLAS OPC X 75 ML; BF8
504600203111115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 18; BF8
504600201117116; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 6 ; BF8
504614030020304; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614030020404; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 60; BF8
504614030020504; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614030020604; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 60; BF8
504614030020704; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 40 MG COM REV CT BL AL PLAS TRANS X 60; BF8
504614030020804; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 80 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614050021406; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614050021506; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614050021606; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL PLAS TRANS X 60; BF8
504614050021706; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614050021806; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL PLAS TRANS X 30; BF8
504614050021906; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL PLAS TRANS X 60; BF8
504614060022108; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2  ; BF8
504614060022208; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; BF8
504614070022306; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; BF8
504613090018104; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS AMB X 30 ML + APLIC; BF8
504612120015204; ALDNEO; ALDNEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BF8
