504601002118110; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; BF8
504601102139111; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML; BF8
504601101116116; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PLAS INC X 12; BF8
504614040020918; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14 ; BF8
504614040021018; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS INC X 28 ; BF8
504614040021118; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 490 (EMB HOSP); BF8
504614050022003; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 30; BF8
504601301115113; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 14; BF8
504601302111111; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 28; BF8
504613040016003; LIPOXEN; LIPOXEN; NOT FOUND; 120 MG CAP GEL DURA CT BL PLAS INC X 42; BF8
504613040016103; LIPOXEN; LIPOXEN; NOT FOUND; 120 MG CAP GEL DURA CT BL PLAS INC X 84; BF8
