72192; GALVUS ; GALVUS; NOT FOUND; CPR 100 MG x 28; NVR
77132; GALVUS ; GALVUS; NOT FOUND; CPR 50 MG x 14; NVR
72193; GALVUS ; GALVUS; NOT FOUND; CPR 50 MG x 28; NVR
73229; GALVUS ; GALVUS; NOT FOUND; CPR 50 MG x 56; NVR
77133; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 1000 MG x 14 (/50); NVR
75642; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 1000 MG x 56 (/50); NVR
77134; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 500 MG x 14 (/50); NVR
75643; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 500 MG x 56 (/50); NVR
77135; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 850 MG x 14 (/50); NVR
75644; GALVUS MET ; GALVUS MET; NOT FOUND; CPR REVEST 850 MG x 56 (/50); NVR
73232; GALVUS MET COMBI P ; GALVUS MET COMBI P; NOT FOUND; COMB PAQ 500 MG x 112 (/50); NVR
72194; GALVUS MET COMBI P ; GALVUS MET COMBI P; NOT FOUND; COMB PAQ 500 MG x 84 (/100); NVR
73233; GALVUS MET COMBI P ; GALVUS MET COMBI P; NOT FOUND; COMB PAQ 850 MG x 112 (/50); NVR
72195; GALVUS MET COMBI P ; GALVUS MET COMBI P; NOT FOUND; COMB PAQ 850 MG x 84 (/100); NVR
85993; GILENYA ; GILENYA; NOT FOUND; CAPS 0.50 MG x 28; NVR
65077; GLIVEC ; GLIVEC; NOT FOUND; CPR 100 MG x 60; NVR
65078; GLIVEC ; GLIVEC; NOT FOUND; CPR 400 MG x 30; NVR
28622; GLYVENOL ; GLYVENOL; NOT FOUND; DRAG 200 MG x 40; NVR
