53854, SANDIMMUN , SANDIMMUN, NOT FOUND, AMP. 50 MG 1 ML x 10 (/ML), NVR
53855, SANDIMMUN , SANDIMMUN, NOT FOUND, AMP. 50 MG 5 ML x 10 (/ML), NVR
53858, SANDIMMUN NEORAL , SANDIMMUN NEORAL, NOT FOUND, CAPS 100 MG x 50, NVR
53856, SANDIMMUN NEORAL , SANDIMMUN NEORAL, NOT FOUND, CAPS 25 MG x 50, NVR
53857, SANDIMMUN NEORAL , SANDIMMUN NEORAL, NOT FOUND, CAPS 50 MG x 50, NVR
53860, SANDIMMUN NEORAL , SANDIMMUN NEORAL, NOT FOUND, SOLN ORAL 100 MG 50 ML x 1 (/ML), NVR
9310, SANDOMIGRAN , SANDOMIGRAN, NOT FOUND, DRAG 0.50 MG x 20, NVR
51716, SANDOSTATIN , SANDOSTATIN, NOT FOUND, AMP SUBCUT. 0.05 MG 1 ML x 5, NVR
51717, SANDOSTATIN , SANDOSTATIN, NOT FOUND, AMP SUBCUT. 0.10 MG 1 ML x 5, NVR
51718, SANDOSTATIN , SANDOSTATIN, NOT FOUND, AMP SUBCUT. 0.50 MG 1 ML x 5, NVR
55565, SANDOSTATIN LAR , SANDOSTATIN LAR, NOT FOUND, F.AMP MPVI 10 MG x 1, NVR
55566, SANDOSTATIN LAR , SANDOSTATIN LAR, NOT FOUND, F.AMP MPVI 20 MG x 1, NVR
55564, SANDOSTATIN LAR , SANDOSTATIN LAR, NOT FOUND, F.AMP MPVI 30 MG x 1, NVR
9327, SANTUSSAL , SANTUSSAL, NOT FOUND, XAROPE 120 ML x 1, NVR
71753, SEBIVO , SEBIVO, NOT FOUND, CPR REVEST 600 MG x 28, NVR
54052, SIMULECT , SIMULECT, NOT FOUND, F.IV LIOF 20 MG 5 ML x 1, NVR
58782, SIRDALUD , SIRDALUD, NOT FOUND, CPR 2 MG x 20, NVR
68100, SIRDALUD , SIRDALUD, NOT FOUND, CPR 2 MG x 30, NVR
65704, STALEVO , STALEVO, NOT FOUND, CPR REVEST 100 MG x 10, NVR
64417, STALEVO , STALEVO, NOT FOUND, CPR REVEST 100 MG x 30, NVR
66379, STALEVO , STALEVO, NOT FOUND, CPR REVEST 150 MG x 10, NVR
64418, STALEVO , STALEVO, NOT FOUND, CPR REVEST 150 MG x 30, NVR
65705, STALEVO , STALEVO, NOT FOUND, CPR REVEST 50 MG x 10, NVR
64416, STALEVO , STALEVO, NOT FOUND, CPR REVEST 50 MG x 30, NVR
60859, STARFORM , STARFORM, NOT FOUND, CPR REVEST 500 MG x 168 (/120), NVR
60858, STARFORM , STARFORM, NOT FOUND, CPR REVEST 500 MG x 96 (/120), NVR
64053, STARFORM , STARFORM, NOT FOUND, CPR REVEST 850 MG x 168 (/120), NVR
64052, STARFORM , STARFORM, NOT FOUND, CPR REVEST 850 MG x 96 (/120), NVR
56966, STARLIX , STARLIX, NOT FOUND, CPR REVEST 120 MG x 24, NVR
56967, STARLIX , STARLIX, NOT FOUND, CPR REVEST 120 MG x 48, NVR
56968, STARLIX , STARLIX, NOT FOUND, CPR REVEST 120 MG x 84, NVR
10010, SYNTOCINON , SYNTOCINON, NOT FOUND, AMP. 5 IU 1 ML x 50, NVR
10011, SYNTOCINON , SYNTOCINON, NOT FOUND, SPR.NAS.DOSE 40 IU 5 ML x 1, NVR
