68080, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, NVR
68081, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 400 MG x 20, NVR
45170, CATAFLAM , CATAFLAM, NOT FOUND, AMP. 75 MG 3 ML x 3, NVR
46271, CATAFLAM , CATAFLAM, NOT FOUND, AMP. 75 MG 3 ML x 50, NVR
48749, CATAFLAM , CATAFLAM, NOT FOUND, CPR DISPER. 50 MG x 20, NVR
42313, CATAFLAM , CATAFLAM, NOT FOUND, DRAG 50 MG x 10, NVR
46155, CATAFLAM , CATAFLAM, NOT FOUND, DRAG 50 MG x 20, NVR
48039, CATAFLAM , CATAFLAM, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), NVR
42316, CATAFLAM , CATAFLAM, NOT FOUND, SUP AD 75 MG x 5, NVR
42314, CATAFLAM , CATAFLAM, NOT FOUND, SUP INF 12.5 MG x 5, NVR
52965, CATAFLAM , CATAFLAM, NOT FOUND, SUSP 1.80 MG 120 ML x 1 (/ML), NVR
2160, CEDILANIDE , CEDILANIDE, NOT FOUND, AMP. 0.40 MG 2 ML x 50, NVR
71663, CERTICAN , CERTICAN, NOT FOUND, CPR 0.50 MG x 60, NVR
71664, CERTICAN , CERTICAN, NOT FOUND, CPR 1 MG x 60, NVR
71493, CERTICAN , CERTICAN, NOT FOUND, CPR DISPER. 0.75 MG x 60, NVR
60440, CILCLAR , CILCLAR, NOT FOUND, SOLN OFTAL 120 ML x 1, NVR
68527, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 1 MG x 20, NVR
68528, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 2 MG x 20, NVR
68529, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 4 MG x 20, NVR
62989, CODATEN , CODATEN, NOT FOUND, CPR REVEST x 10, NVR
61700, CODATEN , CODATEN, NOT FOUND, CPR REVEST x 20, NVR
54985, COMTAN , COMTAN, NOT FOUND, CPR REVEST 200 MG x 30, NVR
75849, CUBICIN , CUBICIN, NOT FOUND, F.AMP 500 MG 10 ML x 1, NVR
78859, CUBICIN , CUBICIN, NOT FOUND, F.AMP 500 MG 10 ML x 5, NVR
