47688, PAMELOR , PAMELOR, NOT FOUND, CAPS 10 MG x 20, NVR
64185, PAMELOR , PAMELOR, NOT FOUND, CAPS 10 MG x 30, NVR
47285, PAMELOR , PAMELOR, NOT FOUND, CAPS 25 MG x 20, NVR
64186, PAMELOR , PAMELOR, NOT FOUND, CAPS 25 MG x 30, NVR
47286, PAMELOR , PAMELOR, NOT FOUND, CAPS 50 MG x 20, NVR
64187, PAMELOR , PAMELOR, NOT FOUND, CAPS 50 MG x 30, NVR
47287, PAMELOR , PAMELOR, NOT FOUND, CAPS 75 MG x 20, NVR
64188, PAMELOR , PAMELOR, NOT FOUND, CAPS 75 MG x 30, NVR
51060, PAMELOR , PAMELOR, NOT FOUND, SOLN ORAL 2 MG 100 ML x 1 (/ML), NVR
50251, PARLODEL , PARLODEL, NOT FOUND, CAPS SRO 2.50 MG x 14, NVR
50252, PARLODEL , PARLODEL, NOT FOUND, CAPS SRO 2.50 MG x 28, NVR
50253, PARLODEL , PARLODEL, NOT FOUND, CAPS SRO 5 MG x 14, NVR
50254, PARLODEL , PARLODEL, NOT FOUND, CAPS SRO 5 MG x 28, NVR
44151, PARLODEL , PARLODEL, NOT FOUND, CPR 2.50 MG x 14, NVR
30450, PARLODEL , PARLODEL, NOT FOUND, CPR 2.50 MG x 28, NVR
67583, PREXIGE , PREXIGE, NOT FOUND, CPR REVEST 100 MG x 20, NVR
