51107, LAMISIL , LAMISIL, NOT FOUND, CPR 125 MG x 14, NVR
49546, LAMISIL , LAMISIL, NOT FOUND, CPR 250 MG x 14, NVR
49547, LAMISIL , LAMISIL, NOT FOUND, CPR 250 MG x 28, NVR
53254, LAMISIL , LAMISIL, NOT FOUND, CPR 250 MG x 7, NVR
49650, LEPONEX , LEPONEX, NOT FOUND, CPR 100 MG x 30, NVR
49649, LEPONEX , LEPONEX, NOT FOUND, CPR 25 MG x 20, NVR
50657, LESCOL , LESCOL, NOT FOUND, CAPS 20 MG x 14, NVR
52108, LESCOL , LESCOL, NOT FOUND, CAPS 20 MG x 28, NVR
50658, LESCOL , LESCOL, NOT FOUND, CAPS 40 MG x 14, NVR
52109, LESCOL , LESCOL, NOT FOUND, CAPS 40 MG x 28, NVR
57530, LESCOL XL , LESCOL XL, NOT FOUND, CPR AP. 80 MG x 30, NVR
6253, LIORESAL , LIORESAL, NOT FOUND, CAPS 10 MG x 20, NVR
6366, LOCORTEN , LOCORTEN, NOT FOUND, CREME 0.02 % 15 G x 1, NVR
6367, LOCORTEN , LOCORTEN, NOT FOUND, POM. 0.02 % 15 G x 1, NVR
6368, LOCORTEN VIOF. , LOCORTEN VIOF, NOT FOUND, CREME 0.02 % 15 G x 1, NVR
6369, LOCORTEN VIOF. , LOCORTEN VIOF, NOT FOUND, POM. 0.02 % 15 G x 1, NVR
49200, LOMIR , LOMIR, NOT FOUND, CAPS SRO 5 MG x 14, NVR
46437, LOPRESSOR , LOPRESSOR, NOT FOUND, CPR 100 MG x 20, NVR
6387, LOSALEN , LOSALEN, NOT FOUND, POM. 0.02 % 30 G x 1, NVR
48561, LOTENSIN , LOTENSIN, NOT FOUND, CPR REVEST 10 MG x 14, NVR
50888, LOTENSIN , LOTENSIN, NOT FOUND, CPR REVEST 10 MG x 30, NVR
48560, LOTENSIN , LOTENSIN, NOT FOUND, CPR REVEST 5 MG x 14, NVR
50886, LOTENSIN , LOTENSIN, NOT FOUND, CPR REVEST 5 MG x 30, NVR
50887, LOTENSIN , LOTENSIN, NOT FOUND, CPR REVEST 5 MG x 60, NVR
51364, LOTENSIN H , LOTENSIN H, NOT FOUND, CPR REVEST 12.5 MG x 30 (/10), NVR
51363, LOTENSIN H , LOTENSIN H, NOT FOUND, CPR REVEST 6.25 MG x 30 (/5), NVR
77520, LUCENTIS , LUCENTIS, NOT FOUND, F.AMP OFTAL 10 MG 0.23 ML x 1 (/ML), NVR
74367, LUCENTIS , LUCENTIS, NOT FOUND, F.AMP OFTAL 10 MG 0.30 ML x 1 (/ML), NVR
28855, LUDIOMIL , LUDIOMIL, NOT FOUND, CPR 25 MG x 20, NVR
28856, LUDIOMIL , LUDIOMIL, NOT FOUND, CPR 75 MG x 20, NVR
