45624, TALOFILINA , TALOFILINA, NOT FOUND, CAPS RETARD 100 MG x 20, NVR
45625, TALOFILINA , TALOFILINA, NOT FOUND, CAPS RETARD 200 MG x 20, NVR
45626, TALOFILINA , TALOFILINA, NOT FOUND, CAPS RETARD 300 MG x 20, NVR
75877, TASIGNA , TASIGNA, NOT FOUND, CAPS 200 MG x 112, NVR
10065, TEGRETOL , TEGRETOL, NOT FOUND, CPR 200 MG x 20, NVR
57397, TEGRETOL , TEGRETOL, NOT FOUND, CPR 200 MG x 60, NVR
41925, TEGRETOL , TEGRETOL, NOT FOUND, CPR 400 MG x 20, NVR
10067, TEGRETOL , TEGRETOL, NOT FOUND, XAROPE 100 MG 100 ML x 1 (/5ML), NVR
47227, TEGRETOL CR , TEGRETOL CR, NOT FOUND, CPR 200 MG x 20, NVR
57398, TEGRETOL CR , TEGRETOL CR, NOT FOUND, CPR 200 MG x 60, NVR
47228, TEGRETOL CR , TEGRETOL CR, NOT FOUND, CPR 400 MG x 20, NVR
69206, TEGRETOL CR , TEGRETOL CR, NOT FOUND, CPR 400 MG x 60, NVR
87528, TOBI , TOBI, NOT FOUND, AMP NEBUL 300 MG 5 ML x 56, NVR
28061, TOFRANIL , TOFRANIL, NOT FOUND, DRAG 10 MG x 20, NVR
28062, TOFRANIL , TOFRANIL, NOT FOUND, DRAG 25 MG x 20, NVR
44016, TOFRANIL PAMO. , TOFRANIL PAMO, NOT FOUND, CAPS 150 MG x 20, NVR
73861, TOFRANIL PAMO. , TOFRANIL PAMO, NOT FOUND, CAPS 150 MG x 30, NVR
44015, TOFRANIL PAMO. , TOFRANIL PAMO, NOT FOUND, CAPS 75 MG x 20, NVR
74198, TOFRANIL PAMO. , TOFRANIL PAMO, NOT FOUND, CAPS 75 MG x 30, NVR
10406, TONOPAN , TONOPAN, NOT FOUND, DRAG x 16, NVR
55918, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 300 MG x 10, NVR
50562, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 300 MG x 20, NVR
58792, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 300 MG x 60, NVR
55919, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 600 MG x 10, NVR
50563, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 600 MG x 20, NVR
60786, TRILEPTAL , TRILEPTAL, NOT FOUND, CPR REVEST 600 MG x 60, NVR
51222, TRILEPTAL , TRILEPTAL, NOT FOUND, SUSP ORAL 6 % 100 ML x 1, NVR
