69170, ACLASTA , ACLASTA, NOT FOUND, INFUSAO I.V 5 MG 100 ML x 1, NVR
132, ADELFAN ESIDR. , ADELFAN ESIDR, NOT FOUND, CPR 10 MG x 20, NVR
76543, AFINITOR , AFINITOR, NOT FOUND, CPR 10 MG x 30, NVR
95756, AFINITOR , AFINITOR, NOT FOUND, CPR 2.50 MG x 30, NVR
76544, AFINITOR , AFINITOR, NOT FOUND, CPR 5 MG x 30, NVR
504, AMINOFILINA , AMINOFILINA, AMINOFILINA, A.IV 240 MG 10 ML x 100, NVR
507, AMINOFILINA , AMINOFILINA, AMINOFILINA, CPR 100 MG x 20, NVR
508, AMINOFILINA , AMINOFILINA, AMINOFILINA, CPR 200 MG x 20, NVR
509, AMINOFILINA , AMINOFILINA, AMINOFILINA, GOTAS 240 MG 10 ML x 1 (/ML), NVR
28084, ANAFRANIL , ANAFRANIL, NOT FOUND, DRAG 10 MG x 20, NVR
624, ANAFRANIL , ANAFRANIL, NOT FOUND, DRAG 25 MG x 20, NVR
47208, ANAFRANIL SR , ANAFRANIL SR, NOT FOUND, CPR 75 MG x 20, NVR
42242, APRESOLINA , APRESOLINA, NOT FOUND, DRAG 25 MG x 20, NVR
42243, APRESOLINA , APRESOLINA, NOT FOUND, DRAG 50 MG x 20, NVR
