56010, FASTFEN , FASTFEN, NOT FOUND, A.IV 5 Y 2 ML x 25 (/ML), CT6
110404, FASTFEN , FASTFEN, NOT FOUND, A.IV 5 Y 2 ML x 30 (/ML), CT6
56012, FASTFEN , FASTFEN, NOT FOUND, A.IV 50 Y 1 ML x 25 (/ML), CT6
59970, FENILEFRIN , FENILEFRIN, NOT FOUND, AMP. 10 MG 1 ML x 50 (/ML), CT6
56015, FENITAL , FENITAL, NOT FOUND, AMP. 5 % 5 ML x 50, CT6
53706, FENOCRIS , FENOCRIS, NOT FOUND, AMP. 100 MG 2 ML x 50 (/ML), CT6
53707, FENOCRIS , FENOCRIS, NOT FOUND, CPR 100 MG x 200, CT6
52493, FENOCRIS , FENOCRIS, NOT FOUND, GOTAS 40 MG 20 ML x 1 (/ML), CT6
53708, FENOCRIS , FENOCRIS, NOT FOUND, GOTAS 40 MG 20 ML x 10 (/ML), CT6
95513, FENTANEST , FENTANEST, NOT FOUND, ADES TRANSD 25 Y x 10, CT6
53710, FENTANEST , FENTANEST, NOT FOUND, AMP. 0.05 MG 2 ML x 50 (/ML), CT6
53709, FENTANEST , FENTANEST, NOT FOUND, AMP. 0.05 MG 5 ML x 25 (/ML), CT6
53711, FENTANEST , FENTANEST, NOT FOUND, F.AMP 0.05 MG 10 ML x 25 (/ML), CT6
59889, FLUCAZOL , FLUCAZOL, NOT FOUND, CAPS 100 MG x 8, CT6
53715, FLUFENAN , FLUFENAN, NOT FOUND, CPR 5 MG x 200, CT6
51819, FLUFENAN DEPOT , FLUFENAN DEPOT, NOT FOUND, AMP. 25 MG 1 ML x 50, CT6
60035, FLUMAZIL , FLUMAZIL, NOT FOUND, F.AMP 0.10 MG 5 ML x 5 (/ML), CT6
66024, FLUOXETIN , FLUOXETIN, NOT FOUND, CAPS 20 MG x 500, CT6
53718, FRUTOVITAM , FRUTOVITAM, NOT FOUND, A.IV 10 ML x 100, CT6
62251, FUNTYL , FUNTYL, NOT FOUND, CPR REVEST 250 MG x 14, CT6
62252, FUNTYL , FUNTYL, NOT FOUND, CPR REVEST 250 MG x 28, CT6
62253, FUNTYL , FUNTYL, NOT FOUND, CREME 1 % 20 G x 1, CT6
