59777, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, CT6
58281, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 0.40 MG 120 ML x 1 (, CT6
58964, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, CT6
155761, MARCODINE SCRUB , MARCODINE SCRUB, NOT FOUND, SOL TOP 100 MG 1000 ML x 1, CT6
154080, MATERPLENA GEST , MATERPLENA GEST, NOT FOUND, CPR x 30, CT6
159924, MATERPLENA LACT , MATERPLENA LACT, NOT FOUND, CPR x 30, CT6
58423, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, CT6
58282, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP ORAL 100 MG 30 ML x 1 (/5ML), CT6
53818, MINEROLEO , MINEROLEO, NOT FOUND, LIQD 100 % 100 ML x 1, CT6
59910, MIOCORON , MIOCORON, NOT FOUND, CPR 200 MG x 200, CT6
52284, MYTEDOM , MYTEDOM, NOT FOUND, AMP. 10 MG 1 ML x 10, CT6
52286, MYTEDOM , MYTEDOM, NOT FOUND, CPR 10 MG x 20, CT6
52285, MYTEDOM , MYTEDOM, NOT FOUND, CPR 5 MG x 20, CT6
