90820, XEMOSE , XEMOSE, NOT FOUND, CREME 200 ML x 1, CT6
90812, XEMOSE , XEMOSE, NOT FOUND, CREME CERAT 150 ML x 1, CT6
90822, XEMOSE , XEMOSE, NOT FOUND, G CR SYNDET 200 ML x 1, CT6
53939, XYLESTESIN , XYLESTESIN, NOT FOUND, A.PE.ISO.S.P 5 % 2 ML x 50, CT6
54468, XYLESTESIN , XYLESTESIN, NOT FOUND, CARTUCHO C/V 2 % 1.80 ML x 50, CT6
54469, XYLESTESIN , XYLESTESIN, NOT FOUND, CARTUCHO S/V 1.80 ML x 50, CT6
53931, XYLESTESIN , XYLESTESIN, NOT FOUND, F.A.C/V-O.F. 1 % 20 ML x 10, CT6
53932, XYLESTESIN , XYLESTESIN, NOT FOUND, F.A.C/V-O.F. 2 % 20 ML x 10, CT6
53934, XYLESTESIN , XYLESTESIN, NOT FOUND, F.A.S/V-S.P. 1 % 20 ML x 10, CT6
53937, XYLESTESIN , XYLESTESIN, NOT FOUND, F.AMP C/VAS 2 % 20 ML x 10, CT6
53935, XYLESTESIN , XYLESTESIN, NOT FOUND, F.AMP S/VAS 1 % 20 ML x 10, CT6
48251, XYLESTESIN , XYLESTESIN, NOT FOUND, F.AMP S/VAS 2 % 20 ML x 10, CT6
53936, XYLESTESIN , XYLESTESIN, NOT FOUND, F.AMP S/VAS 2 % 5 ML x 50, CT6
61475, XYLESTESIN , XYLESTESIN, NOT FOUND, GEL. 2 % 10 ML x 10, CT6
48252, XYLESTESIN , XYLESTESIN, NOT FOUND, GEL. 2 % 30 G x 1, CT6
54470, XYLESTESIN , XYLESTESIN, NOT FOUND, GEL. 2 % 30 G x 10, CT6
53933, XYLESTESIN , XYLESTESIN, NOT FOUND, SPRAY 10 % 50 ML x 1, CT6
