52574; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 200 MG x 20; CT6
54456; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 200 MG x 200; CT6
52575; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 400 MG x 20; CT6
54457; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 400 MG x 200; CT6
77783; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP 20 MG 2 ML x 50; CT6
77784; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP 40 MG 2 ML x 50; CT6
48245; TENSURIL ; TENSURIL; NOT FOUND; AMP. 300 MG 20 ML x 1; CT6
53907; THIOPENTAX ; THIOPENTAX; NOT FOUND; F.AMP 0.50 G x 25; CT6
53908; THIOPENTAX ; THIOPENTAX; NOT FOUND; F.AMP 1 G x 25; CT6
59533; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 40 G x 1; CT6
58976; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOLN OFTAL 0.30 % 5 ML x 1; CT6
84997; TOLEDERM ; TOLEDERM; NOT FOUND; CREME. 50 ML x 1; CT6
84998; TOLEDERM ; TOLEDERM; NOT FOUND; GEL LIMPEZA 250 ML x 1; CT6
70453; TRACUR ; TRACUR; NOT FOUND; A.IV 10 MG 2.50 ML x 25 (/ML); CT6
70454; TRACUR ; TRACUR; NOT FOUND; A.IV 10 MG 5 ML x 25 (/ML); CT6
53909; TRACUR ; TRACUR; NOT FOUND; A.IV 25 MG 2.50 ML x 5; CT6
53910; TRACUR ; TRACUR; NOT FOUND; A.IV 50 MG 5 ML x 5; CT6
64529; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 1 ML x 100 (/ML); CT6
58453; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 1 ML x 6 (/ML); CT6
63534; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 2 ML x 100 (/ML); CT6
58454; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 2 ML x 6 (/ML); CT6
58455; TRAMADON ; TRAMADON; NOT FOUND; CAPS 50 MG x 10; CT6
59995; TRAMADON ; TRAMADON; NOT FOUND; CAPS 50 MG x 100; CT6
61474; TRAMADON ; TRAMADON; NOT FOUND; CPR REVEST 100 MG x 10; CT6
58456; TRAMADON ; TRAMADON; NOT FOUND; GOTAS 100 MG 10 ML x 1 (/ML); CT6
53914; TRIDIL ; TRIDIL; NOT FOUND; F.AMP 25 MG 5 ML x 1; CT6
53915; TRIDIL ; TRIDIL; NOT FOUND; F.AMP 50 MG 10 ML x 1; CT6
