53824, PAMERGAN , PAMERGAN, NOT FOUND, AMP. 25 MG 2 ML x 50 (/ML), CT6
53822, PAMERGAN , PAMERGAN, NOT FOUND, CPR 25 MG x 200, CT6
66182, PAMIDRON , PAMIDRON, NOT FOUND, F.AMP C/DILU 60 MG 10 ML x 5, CT6
66142, PAMIDRON , PAMIDRON, NOT FOUND, F.AMP C/DILU 90 MG 10 ML x 5, CT6
49660, PANCURON , PANCURON, NOT FOUND, AMP. 4 MG 2 ML x 50, CT6
78962, PARKIDOPA , PARKIDOPA, NOT FOUND, CPR 250 MG x 200 (/25), CT6
53828, PARKIDOPA , PARKIDOPA, NOT FOUND, CPR 250 MG x 30 (/25), CT6
63884, PASIC , PASIC, NOT FOUND, CPR REVEST 100 MG x 20, CT6
63885, PASIC , PASIC, NOT FOUND, SOLN ORAL 250 MG 100 ML x 1 (/5ML), CT6
84959, PEPTILYS , PEPTILYS, NOT FOUND, CREME EYE 15 ML x 1, CT6
84960, PEPTILYS , PEPTILYS, NOT FOUND, CREME VISAGE 40 ML x 1, CT6
99729, PINAZAN , PINAZAN, NOT FOUND, CPR 100 MG x 30, CT6
95514, PINAZAN , PINAZAN, NOT FOUND, CPR 100 MG x 450, CT6
99730, PINAZAN , PINAZAN, NOT FOUND, CPR 25 MG x 30, CT6
66280, PLASBUMIN , PLASBUMIN, NOT FOUND, SOLN INJ. 20 % 50 ML x 1, CT6
59522, PROPOVAN , PROPOVAN, NOT FOUND, A.IV 10 MG 10 ML x 5, CT6
53843, PROPOVAN , PROPOVAN, NOT FOUND, A.IV 10 MG 20 ML x 5 (/ML), CT6
