99722; LABREA ; LABREA; NOT FOUND; CPR REVEST 10 MG x 30; CT6
99723; LABREA ; LABREA; NOT FOUND; CPR REVEST 5 MG x 30; CT6
67669; LEPTARD ; LEPTARD; NOT FOUND; SUSP ORAL 6 % 100 ML x 1; CT6
61898; LEVOTAC ; LEVOTAC; NOT FOUND; CPR 250 MG x 3; CT6
61899; LEVOTAC ; LEVOTAC; NOT FOUND; CPR 250 MG x 7; CT6
61901; LEVOTAC ; LEVOTAC; NOT FOUND; CPR 500 MG x 10; CT6
111579; LEVOTAC ; LEVOTAC; NOT FOUND; F IV S/F 5 MG 100 ML x 6 (/ML); CT6
62549; LEVOTAC ; LEVOTAC; NOT FOUND; F.IV 5 MG 100 ML x 1 (/ML); CT6
53753; LEVOZINE ; LEVOZINE; NOT FOUND; CPR 100 MG x 200; CT6
53752; LEVOZINE ; LEVOZINE; NOT FOUND; CPR 25 MG x 200; CT6
53754; LEVOZINE ; LEVOZINE; NOT FOUND; GOTAS 40 MG 20 ML x 10 (/ML); CT6
55535; LONGACTIL ; LONGACTIL; NOT FOUND; AMP. 25 MG 5 ML x 50; CT6
53641; LONGACTIL ; LONGACTIL; NOT FOUND; CPR 25 MG x 200; CT6
55536; LONGACTIL ; LONGACTIL; NOT FOUND; CPR REVEST 100 MG x 200; CT6
56033; LONGACTIL ; LONGACTIL; NOT FOUND; SOLN ORAL 40 MG 20 ML x 10 (/ML); CT6
64549; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 20; CT6
64550; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; CT6
