66343; BACTOMAX ; BACTOMAX; NOT FOUND; F.AMP LIOF 200 MG 3 ML x 1; CT6
80221; BACTOMAX ; BACTOMAX; NOT FOUND; F.AMP LIOF 200 MG 3 ML x 10; CT6
66342; BACTOMAX ; BACTOMAX; NOT FOUND; F.AMP LIOF 400 MG 3 ML x 1; CT6
90785; BARIEDERM ; BARIEDERM; NOT FOUND; CREME 75 ML x 1; CT6
84953; BARIEDERM ; BARIEDERM; NOT FOUND; STICK LABIAL 15 ML x 1; CT6
48391; BARIOGEL ; BARIOGEL; NOT FOUND; GEL. 100 % 150 ML x 1; CT6
73651; BARIOGEL ; BARIOGEL; NOT FOUND; GEL. 100 % 150 ML x 10; CT6
53604; BARIOGEL ; BARIOGEL; NOT FOUND; GEL. 100 % 200 ML x 1; CT6
73652; BARIOGEL ; BARIOGEL; NOT FOUND; GEL. 100 % 200 ML x 10; CT6
66590; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 20; CT6
66588; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; CT6
56558; BREVIBLOC ; BREVIBLOC; NOT FOUND; F.AMP INFUS 100 MG 10 ML x 20; CT6
