534101002153414; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML; CL9
534101003151415; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP VD INC X 1 ML; CL9
534101005152419; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML; CL9
534101007155415; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 12 AMP VD INC X 1 ML; CL9
534101013155413; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP VD INC X 1 ML; CL9
534101014151411; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; CL9
534101015158411; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; CL9
534101016154418; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; CL9
534101001157416; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 2 ML; CL9
534101004156410; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP VD INC X 2 ML; CL9
534101006159417; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; CL9
534101008151413; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 12 AMP VD INC X 2 ML; CL9
534101009158411; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 25 AMP VD INC X 2 ML; CL9
534101010156419; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML; CL9
534101011152417; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML; CL9
534101012159415; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; CL9
