78364; BALSAMO BENGUE ; BALSAMO BENGUE; NOT FOUND; AERO 60 G x 1; E3S
53213; BALSAMO BENGUE ; BALSAMO BENGUE; NOT FOUND; GEL. 20 G x 1; E3S
53212; BALSAMO BENGUE ; BALSAMO BENGUE; NOT FOUND; POM. 20 G x 1; E3S
76934; BENZIFLEX ; BENZIFLEX; NOT FOUND; CPR REVEST 10 MG x 15; E3S
76935; BENZIFLEX ; BENZIFLEX; NOT FOUND; CPR REVEST 10 MG x 30; E3S
123869; BENZIFLEX ; BENZIFLEX; NOT FOUND; CPR REVEST 5 MG x 15; E3S
123868; BENZIFLEX ; BENZIFLEX; NOT FOUND; CPR REVEST 5 MG x 30; E3S
48601; BENZIFLEX ; BENZIFLEX; NOT FOUND; GOTAS 30 MG 20 ML x 1 (/ML); E3S
57946; BENZOILMETRONID.MG ; BENZOILMETRONID; NOT FOUND; SUSP ORAL 120 ML x 1; E3S
59797; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; E3S
70742; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 90; E3S
59794; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; E3S
59795; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; E3S
70285; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 90; E3S
65451; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 0.50 MG x 20; E3S
70743; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 0.50 MG x 90; E3S
65219; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 2 MG x 10; E3S
70744; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 2 MG x 90; E3S
61697; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; ELIXIR 0.50 MG 120 ML x 1 (/5ML); E3S
61430; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; GOTAS 0.50 MG 15 ML x 1; E3S
64559; BEZAFIBRATO MG ; BEZAFIBRATO; BEZAFIBRATO; CPR REVEST 200 MG x 20; E3S
70286; BEZAFIBRATO MG ; BEZAFIBRATO; BEZAFIBRATO; CPR REVEST 200 MG x 60; E3S
77584; BIMATOPROSTA MG ; BIMATOPROSTA; BIMATOPROSTA; SOLN OFTAL 0.30 MG 3 ML x 1; E3S
77587; BIMATOPROSTA MG ; BIMATOPROSTA; BIMATOPROSTA; SOLN OFTAL 0.30 MG 5 ML x 1; E3S
89920; BIOFLADEX ; BIOFLADEX; NOT FOUND; AEROSOL 60 G x 1; E3S
57587; BIOVITAL ; BIOVITAL; NOT FOUND; CPR REV ANTI x 25; E3S
