46644; C.CALCIO ; C CALCIO; NOT FOUND; CPR EFER x 10; E3S
52430; CALCINOL ; CALCINOL; NOT FOUND; SUSP 240 ML x 1; E3S
95577; CALCINOL B12 ; CALCINOL B12; NOT FOUND; SUSP 240 ML x 1; E3S
99487; CALCINOL D3 ; CALCINOL D3; NOT FOUND; CPR REVEST x 60; E3S
158156; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 16 MG x 30 (/12.); E3S
158155; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 8 MG x 30 (/12.); E3S
139158; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 16 MG x 30; E3S
136007; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 8 MG x 30; E3S
63693; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 15 (/25); E3S
63694; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); E3S
71443; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 90 (/25); E3S
57026; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 15; E3S
57027; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; E3S
70755; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 90; E3S
57028; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 16; E3S
57029; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 28; E3S
59942; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; E3S
69417; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; E3S
70756; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 90; E3S
57030; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 16; E3S
57031; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 28; E3S
59943; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; E3S
69416; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; E3S
70757; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 90; E3S
64560; CAPYLA ; CAPYLA; NOT FOUND; CPR REVEST 1 MG x 30; E3S
59871; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; E3S
