73853; RAMIPRESS HCT ; RAMIPRESS HCT; NOT FOUND; CPR 5 MG x 30 (/25); E3S
71619; RAMIPRIL+HCT MG ; RAMIPRIL HCT; NOT FOUND; CPR 5 MG x 30 (/25); E3S
49559; RANITIL ; RANITIL; NOT FOUND; CPR 150 MG x 20; E3S
52561; REBATEN LA ; REBATEN LA; NOT FOUND; CAPS 160 MG x 30; E3S
52560; REBATEN LA ; REBATEN LA; NOT FOUND; CAPS 80 MG x 30; E3S
82835; REPAGLINIDA MG ; REPAGLINIDA; REPAGLINIDA; CPR REVEST 2 MG x 30; E3S
64463; RIFAMICINA MG ; RIFAMICINA; RIFAMICINA; SPRAY 10 MG 20 ML x 1 (/ML); E3S
68812; RIFASAN ; RIFASAN; NOT FOUND; SPRAY 10 MG 20 ML x 1 (/ML); E3S
76914; RISEDRONATO SOD.MG ; RISEDRONATO SOD; RISEDRONATO SODICO; CPR REVEST 35 MG x 2; E3S
76915; RISEDRONATO SOD.MG ; RISEDRONATO SOD; RISEDRONATO SODICO; CPR REVEST 35 MG x 4; E3S
104565; RISEDROSS ; RISEDROSS; NOT FOUND; CPR REVEST 35 MG x 12; E3S
70622; RISEDROSS ; RISEDROSS; NOT FOUND; CPR REVEST 35 MG x 2; E3S
70621; RISEDROSS ; RISEDROSS; NOT FOUND; CPR REVEST 35 MG x 4; E3S
72130; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; SOLN ORAL 1 MG 30 ML x 1 (/ML); E3S
64522; ROHYDORM ; ROHYDORM; NOT FOUND; CPR 1 MG x 20; E3S
64523; ROHYDORM ; ROHYDORM; NOT FOUND; CPR 2 MG x 20; E3S
82909; ROSUVAST ; ROSUVAST; NOT FOUND; CPR REVEST 10 MG x 30; E3S
82910; ROSUVAST ; ROSUVAST; NOT FOUND; CPR REVEST 20 MG x 30; E3S
82090; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 10 MG x 10; E3S
82089; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 10 MG x 30; E3S
82092; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 20 MG x 30; E3S
82916; ROVELAN ; ROVELAN; NOT FOUND; CPR REV . 160 MG x 30; E3S
82917; ROVELAN ; ROVELAN; NOT FOUND; CPR REV . 320 MG x 30; E3S
82915; ROVELAN ; ROVELAN; NOT FOUND; CPR REV . 80 MG x 30; E3S
80391; RUSOVAS ; RUSOVAS; NOT FOUND; CPR REVEST 10 MG x 30; E3S
130543; RUSOVAS ; RUSOVAS; NOT FOUND; CPR REVEST 10 MG x 60; E3S
80389; RUSOVAS ; RUSOVAS; NOT FOUND; CPR REVEST 20 MG x 30; E3S
123871; RUSOVAS ; RUSOVAS; NOT FOUND; CPR REVEST 5 MG x 10; E3S
115832; RUSOVAS ; RUSOVAS; NOT FOUND; CPR REVEST 5 MG x 60; E3S
