66547; MAL.DEX+PSE+GUA.MG ; MAL DEX PSE GUA; NOT FOUND; SOLN ORAL 120 ML x 1; E3S
66548; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; CPR 0.25 MG x 20 (/2); E3S
61438; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAROPE 120 ML x 1; E3S
65163; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 12.5 MG x 30 (/20); E3S
70868; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 12.5 MG x 90 (/20); E3S
63783; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 25 MG x 30 (/10); E3S
70867; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 25 MG x 90 (/10); E3S
57137; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; E3S
71929; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 60; E3S
57138; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; E3S
57136; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; E3S
71928; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 60; E3S
66181; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; CPR 2 MG x 20; E3S
73393; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; CREME 10 MG 30 G x 1 (/G); E3S
74587; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; GOTAS 2.80 MG 20 ML x 1 (/ML); E3S
61439; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; SOLN ORAL 0.40 MG 120 ML x 1 (; E3S
68113; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTAL 2.50 MG 5 ML x 1 (/; E3S
68108; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTAL 5 MG 5 ML x 1 (/ML); E3S
73841; MALENA ; MALENA; NOT FOUND; CPR 10 MG x 30; E3S
73842; MALENA ; MALENA; NOT FOUND; CPR 20 MG x 30; E3S
73840; MALENA ; MALENA; NOT FOUND; CPR 5 MG x 30; E3S
69185; MALENA HCT ; MALENA HCT; NOT FOUND; CPR 12.5 MG x 30 (/20); E3S
