49999; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 10 MG x 14; LIB
50623; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 20 MG x 28; LIB
48079; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 20 MG x 7; LIB
51609; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 40 MG x 7; LIB
49447; PLAMET ; PLAMET; NOT FOUND; AMP. 10 MG 2 ML x 5; LIB
44359; PLAMET ; PLAMET; NOT FOUND; AMP. 10 MG 2 ML x 50; LIB
31030; PLAMET ; PLAMET; NOT FOUND; CPR 10 MG x 20; LIB
59290; PLAMET ; PLAMET; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); LIB
31031; PLAMET ; PLAMET; NOT FOUND; GOTAS 8 MG 10 ML x 1 (/ML); LIB
31032; PLAMET ; PLAMET; NOT FOUND; SOLN 1 MG 120 ML x 1 (/ML); LIB
103021; PLENANCE ; PLENANCE; NOT FOUND; CPR REVEST 10 MG x 30; LIB
103019; PLENANCE ; PLENANCE; NOT FOUND; CPR REVEST 20 MG x 30; LIB
69546; PLURAIR ; PLURAIR; NOT FOUND; SPRAY NASAL 50 Y x 120 (/DOS); LIB
62064; PLURAIR ; PLURAIR; NOT FOUND; SPRAY NASAL 50 Y x 60 (/DOS); LIB
57789; POZATO ; POZATO; NOT FOUND; CPR 0.75 MG x 2; LIB
68057; POZATO ; POZATO; NOT FOUND; CPR UNI 1.50 MG x 1; LIB
62065; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 14; LIB
62066; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 28; LIB
95708; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 7; LIB
68314; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 40 MG x 28; LIB
50004; PROSTIDE ; PROSTIDE; NOT FOUND; CPR REVEST 5 MG x 20 (ADLT); LIB
