510405201116412; FLEXALGEX; FLEXALGEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 100; GOB
510410002134417; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
510410005133411; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
510410006131412; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
510410001138419; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
510410007136418; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
510410008132416; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
510409301131416; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE PED CT FR VD AMB X 120 ML + CP MED; GOB
510409304130410; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
510409305137419; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
510409302138414; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE ADU CT FR VD AMB X 120 ML + CP MED; GOB
510409306133417; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE CT FR PEAD X 120ML + CP MED; GOB
510409307131418; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE CX 60 FR PEAD X 120ML + 60 CP MED (EMB HOSP); GOB
510415002175114; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; GOB
510415003171112; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
510415005174119; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
510415001179116; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; GOB
510415004178110; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510415006170117; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510400801115416; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; GOB
510400802111414; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; GOB
510400803118412; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP); GOB
