510414070107903; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 4; GOB
510414070108003; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 10; GOB
510414070108103; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 20; GOB
510414070108203; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 30; GOB
510414070108303; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); GOB
510414070108403; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); GOB
510411702131419; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 20 ML (EMB HOSP); GOB
510411704132412; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 20 ML; GOB
510411903135111; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 20 ML (EMB HOSP); GOB
510411905138116; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 20 ML; GOB
510411703136414; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 30 ML (EMB HOSP); GOB
510411705139410; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 30 ML; GOB
510411904131118; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 30 ML (EMB HOSP); GOB
510411914137119; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 30 ML; GOB
510412060071903; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + COP; GOB
510412060072003; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 COP (EMB HOSP); GOB
510412060072103; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + SER DOS; GOB
510412060072203; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOS (EMB HOSP); GOB
510412060072303; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP; GOB
510412060072403; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); GOB
510412060072503; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; GOB
510412060072603; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 SER DOS (EMB HOSP); GOB
510412060072706; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + COP; GOB
510412060072806; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 COP (EMB HOSP); GOB
510412060072906; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + SER DOS; GOB
510412060073006; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOS (EMB HOSP); GOB
510412060073106; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP; GOB
510412060073206; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); GOB
510412060073306; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; GOB
510412060073406; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 SER DOS (EMB HOSP); GOB
510411706135419; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + CP MED; GOB
510411707131417; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + SER DOS; GOB
510411708138415; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + CP MED; GOB
510411709134413; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + SER DOS; GOB
510411710132410; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
510411711139419; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 SER DOS (EMB HOSP); GOB
510411712135417; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
