510412060073504; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 10 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI) ; GOB
510412060073804; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 100 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
510412060073904; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 100 ENV PE X 5 G (EMB HOSP) (SABOR ABACAXI); GOB
510412060074004; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 500 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
510412060073604; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 50 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI) ; GOB
510412060074104; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 500 ENV PE X 5 G (EMB HOSP) (SABOR ABACAXI); GOB
510412060073704; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 60 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
510411301178414; SONARIN; SONARIN; NOT FOUND; 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML ; GOB
510402601113416; SODIX; SODIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20  ; GOB
510402602111417; SODIX; SODIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500  (EMB HOSP); GOB
510402510118415; SINVAX; SINVAX; NOT FOUND; 10 MG COM REV CT 25 BL AL PLAS INC X 10  (EMB HOSP); GOB
510402511114413; SINVAX; SINVAX; NOT FOUND; 20 MG COM REV CT 25 BL AL PLAS INC X 10  (EMB HOSP); GOB
510402504118417; SINVAX; SINVAX; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10 ; GOB
510402508113411; SINVAX; SINVAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; GOB
510408001134111; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.48 MG/ML XPE CT  FR VD AMB X 120ML + CP MED ; GOB
510408002130118; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.48 MG/ML XPE CX 60  FR VD AMB X 120ML + CP MED (EMB HOSP); GOB
510408003137116; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.48 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
510408004133114; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.48 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
510404902110412; SALIPIRIN; SALIPIRIN; NOT FOUND; 100 MG COM CT 20 STRIP X 10; GOB
