538014100015404; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 1 AMP VD INC X 1ML ; A1F
538014100015504; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 5 AMP VD INC X 1ML ; A1F
538014100015604; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 10 AMP VD INC X 1ML ; A1F
538014100015704; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 20 AMP VD INC X 1ML (EMB HOSP); A1F
538014100015804; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 100 AMP VD INC X 1ML (EMB HOSP); A1F
538014100015904; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 1 AMP VD INC X 2ML ; A1F
538014100016004; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 5 AMP VD INC X 2ML ; A1F
538014100016104; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 10 AMP VD INC X 2ML ; A1F
538014100016204; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 20 AMP VD INC X 2ML (EMB HOSP); A1F
538014100016304; SYLETYV; SYLETYV; NOT FOUND; 5 MCG/ML SOL INJ CT 100 AMP VD INC X 2ML (EMB HOSP); A1F
538001601155118; SULFATO DE VINCRISTINA; SULFATO VINCRISTINA; SULFATO VINCRISTINA; 1 MG/ML SOL INJ CT FA VD INC X 2 ML; A1F
