538013060011504; RISPERAC; RISPERAC; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 10 ; A1F
538013070012806; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS TRANS X 10; A1F
538013060011604; RISPERAC; RISPERAC; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013070012906; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013060011704; RISPERAC; RISPERAC; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013070013006; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013060011804; RISPERAC; RISPERAC; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 60; A1F
538013070013106; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS TRANS X 60; A1F
538013060011904; RISPERAC; RISPERAC; NOT FOUND; 2 MG COM REV CT BL AL PLAS TRANS X 10; A1F
538013070013206; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS TRANS X 10  ; A1F
538013060012004; RISPERAC; RISPERAC; NOT FOUND; 2 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013070013306; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013060012104; RISPERAC; RISPERAC; NOT FOUND; 2 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013070013406; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013060012204; RISPERAC; RISPERAC; NOT FOUND; 2 MG COM REV CT BL AL PLAS TRANS X 60; A1F
538013070013506; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS TRANS X 60; A1F
538013060012304; RISPERAC; RISPERAC; NOT FOUND; 3 MG COM REV CT BL AL PLAS TRANS X 10 ; A1F
538013070013606; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS TRANS X 10; A1F
538013060012404; RISPERAC; RISPERAC; NOT FOUND; 3 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013070013706; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS TRANS X 20; A1F
538013060012504; RISPERAC; RISPERAC; NOT FOUND; 3 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013070013806; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS TRANS X 30; A1F
538013060012604; RISPERAC; RISPERAC; NOT FOUND; 3 MG COM REV CT BL AL PLAS TRANS X 60; A1F
538013070013906; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS TRANS X 60; A1F
