538013080014003; TOPOTACX; TOPOTACX; NOT FOUND; 4 MG PO LIOF SOL INJ CT FA VD TRANS X 5 ML; A1F
538002402113111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 10; A1F
538002403111112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 20; A1F
538002404116118; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 30; A1F
538002412119112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; A1F
538002401117113; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 10; A1F
538002405112116; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 20; A1F
538002406119114; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 30; A1F
538002407115112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; A1F
538002408111110; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 10; A1F
538002409118119; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 20; A1F
538002410116116; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 30; A1F
538002411112114; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; A1F
