539013090002203; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
539013090002303; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
539013090002403; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
539013090001903; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
539013090002003; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
539013090002103; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
539000301156418; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1% SOL INJ IV CX 8 CT 100 AMP PLAS TRANS X 10 ML; STT
539013090002503; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10 ML ; STT
539013090002603; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10 ML; STT
539013100003204; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
539013100003304; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
539013100003404; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
539013100003504; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 20ML ; STT
539013100003604; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 20ML ; STT
539013100003704; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 20ML ; STT
539000604159413; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 8 CT 100 AMP PLAST TRANS X 10 ML; STT
539013100004203; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
539013100004303; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
539000603152415; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 4 CT 100 AMP PLAST TRANS X 20 ML; STT
539013100004403; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
539013100004503; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
539000601151411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 8 CT 100 AMP PLAST TRANS X 10 ML; STT
539013100003803; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ  CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
539013100003903; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
539000602156417; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 4 CT 100 AMP PLAST TRANS X 20 ML; STT
539013100004003; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
539013100004103; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
