60033; FIBRINASE ; FIBRINASE; NOT FOUND; POM. 10 G x 1; SP0
60034; FIBRINASE ; FIBRINASE; NOT FOUND; POM. 30 G x 1; SP0
129240; FILINAR ; FILINAR; NOT FOUND; GEL ORAL 5 MG 120 ML x 1 (/ML); SP0
63007; FILINAR ; FILINAR; NOT FOUND; XAR. AD 10 MG 120 ML x 1 (/ML); SP0
61852; FILINAR ; FILINAR; NOT FOUND; XAR. PED. 5 MG 120 ML x 1 (/ML); SP0
78202; FILINAR ; FILINAR; NOT FOUND; XAR. PED. 5 MG 60 ML x 1 (/ML); SP0
33784; FLOXACIN ; FLOXACIN; NOT FOUND; CPR 400 MG x 14; SP0
55452; FLOXACIN ; FLOXACIN; NOT FOUND; CPR 400 MG x 6; SP0
78138; FLUXENE ; FLUXENE; NOT FOUND; CAPS 10 MG x 14; SP0
62925; FLUXENE ; FLUXENE; NOT FOUND; CAPS 10 MG x 28; SP0
50756; FLUXENE ; FLUXENE; NOT FOUND; CAPS 20 MG x 14; SP0
50757; FLUXENE ; FLUXENE; NOT FOUND; CAPS 20 MG x 28; SP0
115567; FLUXENE ; FLUXENE; NOT FOUND; CAPS 20 MG x 60; SP0
56585; FOSAMAX ; FOSAMAX; NOT FOUND; CPR 70 MG x 4; SP0
69105; FOSAMAX D ; FOSAMAX D; NOT FOUND; CPR 2800 IU x 4 (/70); SP0
79268; FOSAMAX D ; FOSAMAX D; NOT FOUND; CPR 5600 IU x 4 (/70); SP0
