58704; DELTAPIL ; DELTAPIL; NOT FOUND; LOC. 100 ML x 1; BLF
58705; DELTAPIL ; DELTAPIL; NOT FOUND; SABAO 70 G x 1; BLF
58706; DELTAPIL ; DELTAPIL; NOT FOUND; XAMP ANTI-CA 0.02 % 100 ML x 1; BLF
69813; DERMOLIMP ; DERMOLIMP; NOT FOUND; CREME 30 G x 1; BLF
56701; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; CREME 20 G x 1; BLF
56702; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 20 ML x 1; BLF
92090; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 30 ML x 1; BLF
56707; DEXAGLOS ; DEXAGLOS; NOT FOUND; CPR x 20; BLF
64319; DEXAGLOS ; DEXAGLOS; NOT FOUND; CREME 15 G x 1; BLF
56706; DEXAGLOS ; DEXAGLOS; NOT FOUND; ELIXIR 100 ML x 1; BLF
74162; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 10; BLF
55996; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 20; BLF
41959; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); BLF
58713; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BLF
56570; DIPIGINA ; DIPIGINA; NOT FOUND; XAR. 60 ML x 1; BLF
56579; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 100; BLF
77969; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 120; BLF
