62047, CEFLEN , CEFLEN, NOT FOUND, F.AMP 1 G x 50, AA0
62048, CEFLEN , CEFLEN, NOT FOUND, F.AMP C/DILU 1 G 5 ML x 50, AA0
62051, CELLOZINA , CELLOZINA, NOT FOUND, F.AMP 1 G x 1, AA0
62052, CELLOZINA , CELLOZINA, NOT FOUND, F.AMP 1 G x 25, AA0
62056, CELLTRIAXON , CELLTRIAXON, NOT FOUND, F.AMP IV DIL 1 G 10 ML x 100, AA0
71867, CELLTRIAXON , CELLTRIAXON, NOT FOUND, F.AMP IV S/D 1 G x 100, AA0
62108, CLAVICIN , CLAVICIN, NOT FOUND, F.AMP IV DIL 500 MG 10 ML x 1, AA0
69840, CLAVICIN , CLAVICIN, NOT FOUND, F.AMP S/DILU 1 G x 50, AA0
75174, CLAVICIN , CLAVICIN, NOT FOUND, F.AMP S/DILU 500 MG x 50, AA0
62205, CLINDACIN , CLINDACIN, NOT FOUND, AMP. 600 MG 4 ML x 50, AA0
72338, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 50 MG 2 ML x 50, AA0
