61651, METALYSE , METALYSE, NOT FOUND, F.AMP LIOF 40 MG 8 ML x 1, B_I
68342, METALYSE , METALYSE, NOT FOUND, F.AMP LIOF 50 MG 10 ML x 1, B_I
49236, MEXITIL , MEXITIL, NOT FOUND, CPR 100 MG x 20, B_I
32547, MEXITIL , MEXITIL, NOT FOUND, CPR 200 MG x 30, B_I
86887, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 10, B_I
56194, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 14, B_I
56195, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 28, B_I
86886, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 30, B_I
86891, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 10, B_I
56196, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 14, B_I
61871, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 28, B_I
86889, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 30, B_I
82616, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 10 (/5), B_I
82785, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 30 (/10), B_I
82783, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 30 (/5), B_I
82788, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 10 (/5), B_I
82794, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 30 (/10), B_I
82790, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 30 (/5), B_I
76612, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 25 MG x 14 (/80), B_I
76613, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 25 MG x 28 (/80), B_I
61613, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 14 (/12), B_I
61614, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 28 (/12), B_I
86892, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 30 (/12), B_I
61615, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 14 (/12), B_I
61616, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 28 (/12), B_I
86894, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 30 (/12), B_I
86844, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 30 (/25), B_I
51258, MIDOTENS , MIDOTENS, NOT FOUND, CPR 4 MG x 14, B_I
52034, MOVATEC , MOVATEC, NOT FOUND, A.IM 15 MG 1.50 ML x 5, B_I
52134, MOVATEC , MOVATEC, NOT FOUND, CPR 15 MG x 10, B_I
51437, MOVATEC , MOVATEC, NOT FOUND, CPR 7.50 MG x 10, B_I
75655, MUCOANGIN , MUCOANGIN, NOT FOUND, PASTILHAS 20 MG x 12, B_I
75656, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, CAPS 24H 75 MG x 10, B_I
32976, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, GOTAS 7.50 MG 50 ML x 1 (/ML), B_I
48123, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), B_I
48122, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, XAR. INF 15 MG 120 ML x 1 (/5ML), B_I
