51538, CARDIZEM , CARDIZEM, NOT FOUND, CAPS CD 180 MG x 15, B_I
72417, CARDIZEM , CARDIZEM, NOT FOUND, CAPS CD 180 MG x 16, B_I
51539, CARDIZEM , CARDIZEM, NOT FOUND, CAPS CD 240 MG x 15, B_I
72419, CARDIZEM , CARDIZEM, NOT FOUND, CAPS CD 240 MG x 16, B_I
48748, CARDIZEM , CARDIZEM, NOT FOUND, CAPS SR 120 MG x 20, B_I
48747, CARDIZEM , CARDIZEM, NOT FOUND, CAPS SR 90 MG x 20, B_I
60098, CARDIZEM , CARDIZEM, NOT FOUND, CPR 30 MG x 20, B_I
47129, CARDIZEM , CARDIZEM, NOT FOUND, CPR 30 MG x 50, B_I
60099, CARDIZEM , CARDIZEM, NOT FOUND, CPR 60 MG x 20, B_I
45732, CARDIZEM , CARDIZEM, NOT FOUND, CPR 60 MG x 50, B_I
54744, COMBIVENT , COMBIVENT, NOT FOUND, AERO AEROCAM 10 ML x 200, B_I
