49481, BEROTEC , BEROTEC, NOT FOUND, AERO DOSIS 0.10 MG 10 ML x 200 (/DOS), B_I
29373, BEROTEC , BEROTEC, NOT FOUND, AERO DOSIS 0.20 MG 15 ML x 300 (/DOS), B_I
47981, BEROTEC , BEROTEC, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), B_I
47982, BEROTEC , BEROTEC, NOT FOUND, XAR. AD 2.50 MG 120 ML x 1 (/5ML), B_I
48602, BEROTEC , BEROTEC, NOT FOUND, XAR. PED. 1.25 MG 120 ML x 1 (/5ML), B_I
99484, BISOLTUSSIN , BISOLTUSSIN, NOT FOUND, XAROPE 2 MG 120 ML x 1 (/ML), B_I
50695, BISOLVON , BISOLVON, NOT FOUND, SOLN EXP. 2 MG 50 ML x 1 (/ML), B_I
54639, BISOLVON , BISOLVON, NOT FOUND, XPE EXP AD 8 MG 120 ML x 1 (/5ML), B_I
50696, BISOLVON , BISOLVON, NOT FOUND, XPE EXP INF 0.80 MG 120 ML x 1 (/ML), B_I
48099, BISOLVON COMPLEX , BISOLVON COMPLEX, NOT FOUND, XAR. 0.80 MG 120 ML x 1 (/ML), B_I
76446, BUSCODUO , BUSCODUO, NOT FOUND, CPR REVEST 500 MG x 120, B_I
49483, BUSCODUO , BUSCODUO, NOT FOUND, CPR REVEST 500 MG x 20, B_I
74259, BUSCOFEM , BUSCOFEM, NOT FOUND, CAPS 400 MG x 10, B_I
76179, BUSCOFEM , BUSCOFEM, NOT FOUND, CAPS 400 MG x 50, B_I
1846, BUSCOPAN , BUSCOPAN, NOT FOUND, DRAG 10 MG x 20, B_I
47885, BUSCOPAN , BUSCOPAN, NOT FOUND, GOTAS 10 MG 20 ML x 1 (/ML), B_I
1851, BUSCOPAN COMPO.INJ , BUSCOPAN COMPO INJ, NOT FOUND, A.IV 5 ML x 3, B_I
158997, BUSCOPAN COMPOSTO , BUSCOPAN COMPOSTO, NOT FOUND, CPR REVEST x 120, B_I
54829, BUSCOPAN COMPOSTO , BUSCOPAN COMPOSTO, NOT FOUND, CPR REVEST x 20, B_I
47986, BUSCOPAN COMPOSTO , BUSCOPAN COMPOSTO, NOT FOUND, GOTAS 20 ML x 1, B_I
71080, BUSCOPAN INJETAVEL , BUSCOPAN INJETAVEL, NOT FOUND, AMP. 20 MG 1 ML x 5 (/ML), B_I
1844, BUSCOPAN INJETAVEL , BUSCOPAN INJETAVEL, NOT FOUND, AMP. 20 MG 1 ML x 6, B_I
47506, BUTAZONA CALCICA , BUTAZONA CALCICA, NOT FOUND, DRAG 200 MG x 100, B_I
