53059, SECOTEX , SECOTEX, NOT FOUND, CAPS L.P. 0.40 MG x 20, B_I
57654, SECOTEX , SECOTEX, NOT FOUND, CAPS L.P. 0.40 MG x 30, B_I
75874, SECOTEX , SECOTEX, NOT FOUND, CPR REV LP 0.40 MG x 20, B_I
75875, SECOTEX , SECOTEX, NOT FOUND, CPR REV LP 0.40 MG x 30, B_I
62492, SIFROL , SIFROL, NOT FOUND, CPR 0.125 MG x 30, B_I
54494, SIFROL , SIFROL, NOT FOUND, CPR 0.25 MG x 30, B_I
54495, SIFROL , SIFROL, NOT FOUND, CPR 1 MG x 30, B_I
78329, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 0.375 MG x 30, B_I
78333, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 0.75 MG x 10, B_I
78330, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 0.75 MG x 30, B_I
78334, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 1.50 MG x 10, B_I
78331, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 1.50 MG x 30, B_I
78332, SIFROL ER , SIFROL ER, NOT FOUND, CPR LP 3 MG x 30, B_I
57659, SONHARE , SONHARE, NOT FOUND, DRAG x 20, B_I
62102, SPIRIVA , SPIRIVA, NOT FOUND, CAP HANDIHAL 18 Y x 10, B_I
62103, SPIRIVA , SPIRIVA, NOT FOUND, CAP HANDIHAL 18 Y x 30, B_I
62104, SPIRIVA , SPIRIVA, NOT FOUND, CAPS 18 Y x 30, B_I
76622, SPIRIVA RESPIMAT , SPIRIVA RESPIMAT, NOT FOUND, SOL+INAL DOS 4 ML x 60, B_I
160465, STRIVERDI RESPIMAT , STRIVERDI RESPIMAT, NOT FOUND, SOL INA+RES 2.50 Y 4 ML x 1, B_I
