139543, PARADOR DUOCF , PARADOR DUOCF, NOT FOUND, CPR x 20, B_I
44000, PERLUTAN , PERLUTAN, NOT FOUND, AMP. 1 ML x 1, B_I
8274, PERSANTIN , PERSANTIN, NOT FOUND, AMP. 10 MG 2 ML x 5, B_I
46450, PERSANTIN 100 , PERSANTIN 100, NOT FOUND, DRAG 100 MG x 50, B_I
8279, PERSANTIN 75 , PERSANTIN 75, NOT FOUND, DRAG 75 MG x 200, B_I
31245, PERSANTIN 75 , PERSANTIN 75, NOT FOUND, DRAG 75 MG x 40, B_I
51855, PHARMATON , PHARMATON, NOT FOUND, CAPS x 100, B_I
51854, PHARMATON , PHARMATON, NOT FOUND, CAPS x 30, B_I
75663, PHARMATON , PHARMATON, NOT FOUND, CAPS x 60, B_I
77677, PHARMATON KIDDI , PHARMATON KIDDI, NOT FOUND, XAROPE 200 ML x 1, B_I
56856, PHARMATON KIDDI , PHARMATON KIDDI, NOT FOUND, XPE C/DOSIFI 120 ML x 1, B_I
75422, PRADAXA , PRADAXA, NOT FOUND, CAPS 110 MG x 10, B_I
75423, PRADAXA , PRADAXA, NOT FOUND, CAPS 110 MG x 30, B_I
83480, PRADAXA , PRADAXA, NOT FOUND, CAPS 110 MG x 60, B_I
83483, PRADAXA , PRADAXA, NOT FOUND, CAPS 150 MG x 10, B_I
83487, PRADAXA , PRADAXA, NOT FOUND, CAPS 150 MG x 30, B_I
83482, PRADAXA , PRADAXA, NOT FOUND, CAPS 150 MG x 60, B_I
75420, PRADAXA , PRADAXA, NOT FOUND, CAPS 75 MG x 10, B_I
75421, PRADAXA , PRADAXA, NOT FOUND, CAPS 75 MG x 30, B_I
